step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
50,8.7603,8.7509,9.0269,9.68e+12,1.13e+13,409600
100,7.6585,7.8010,7.8946,1.96e+13,2.26e+13,819200
150,7.5559,7.8310,7.8883,2.94e+13,3.38e+13,1228800
200,7.6571,7.8729,7.9302,3.93e+13,4.51e+13,1638400
250,7.7346,7.9345,7.9886,4.92e+13,5.64e+13,2048000
300,7.6003,7.9176,7.9234,5.91e+13,6.77e+13,2457600
350,7.7014,7.8724,7.8787,6.90e+13,7.89e+13,2867200
400,7.5953,7.8572,7.8649,7.89e+13,9.02e+13,3276800
450,7.6324,7.8513,7.8585,8.87e+13,1.02e+14,3686400
500,7.6163,7.8528,7.8537,9.86e+13,1.13e+14,4096000
550,7.6499,7.8220,7.8238,1.08e+14,1.24e+14,4505600
600,7.8173,7.8263,7.8275,1.18e+14,1.35e+14,4915200
650,7.6631,7.8211,7.8219,1.28e+14,1.47e+14,5324800
700,7.5819,7.8171,7.8175,1.38e+14,1.58e+14,5734400
750,7.7339,7.8038,7.8047,1.48e+14,1.69e+14,6144000
800,7.6746,7.8261,7.8270,1.58e+14,1.80e+14,6553600
850,7.5805,7.7964,7.7964,1.68e+14,1.92e+14,6963200
900,7.6817,7.7918,7.7920,1.78e+14,2.03e+14,7372800
950,7.7061,7.7990,7.7995,1.88e+14,2.14e+14,7782400
1000,7.6325,7.7930,7.7935,1.97e+14,2.26e+14,8192000
1050,7.4779,7.7918,7.7919,2.07e+14,2.37e+14,8601600
1100,7.6461,7.7802,7.7803,2.17e+14,2.48e+14,9011200
1150,7.5791,7.7771,7.7773,2.27e+14,2.59e+14,9420800
1200,7.5949,7.7772,7.7774,2.37e+14,2.71e+14,9830400
1250,7.6234,7.7916,7.7918,2.47e+14,2.82e+14,10240000
1300,7.7041,7.8045,7.8043,2.57e+14,2.93e+14,10649600
1350,7.5894,7.8111,7.8112,2.67e+14,3.05e+14,11059200
1400,7.5767,7.7767,7.7767,2.76e+14,3.16e+14,11468800
1450,7.6328,7.7733,7.7732,2.86e+14,3.27e+14,11878400
1500,7.6687,7.7908,7.7912,2.96e+14,3.38e+14,12288000
1550,7.5996,7.7886,7.7888,3.06e+14,3.50e+14,12697600
1600,7.6188,7.7648,7.7650,3.16e+14,3.61e+14,13107200
1650,7.5821,7.7698,7.7699,3.26e+14,3.72e+14,13516800
1700,7.6146,7.7820,7.7824,3.36e+14,3.83e+14,13926400
1750,7.5751,7.7677,7.7678,3.46e+14,3.95e+14,14336000
1800,7.5820,7.7668,7.7668,3.56e+14,4.06e+14,14745600
1850,7.6093,7.7676,7.7677,3.65e+14,4.17e+14,15155200
1900,7.8168,7.7819,7.7826,3.75e+14,4.29e+14,15564800
1950,7.6606,7.7669,7.7670,3.85e+14,4.40e+14,15974400
2000,7.6052,7.7621,7.7621,3.95e+14,4.51e+14,16384000
2050,7.5164,7.7673,7.7673,4.05e+14,4.62e+14,16793600
2100,7.5816,7.7602,7.7602,4.15e+14,4.74e+14,17203200
