step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
4450,6.3633,6.4921,6.5352,5.28e+14,5.63e+14,36454400
4500,6.4102,6.4802,6.5285,5.33e+14,5.70e+14,36864000
4550,6.4100,6.4900,6.5023,5.39e+14,5.76e+14,37273600
4600,6.4598,6.4614,6.4958,5.45e+14,5.82e+14,37683200
4650,6.4152,6.4610,6.4973,5.51e+14,5.89e+14,38092800
4700,6.5159,6.4498,6.4911,5.57e+14,5.95e+14,38502400
4750,6.3739,6.4444,6.4888,5.63e+14,6.01e+14,38912000
4800,6.3548,6.4375,6.4659,5.69e+14,6.08e+14,39321600
4850,6.4238,6.4290,6.4600,5.75e+14,6.14e+14,39731200
4900,6.4491,6.4302,6.4700,5.81e+14,6.20e+14,40140800
4950,6.5310,6.4221,6.4610,5.87e+14,6.27e+14,40550400
5000,6.3560,6.4164,6.4458,5.93e+14,6.33e+14,40960000
5050,6.4662,6.4101,6.4405,5.99e+14,6.39e+14,41369600
5100,6.3821,6.4045,6.4326,6.05e+14,6.46e+14,41779200
5150,6.2958,6.4033,6.4296,6.11e+14,6.52e+14,42188800
5200,6.4442,6.3978,6.4244,6.16e+14,6.58e+14,42598400
5250,6.3606,6.3933,6.4184,6.22e+14,6.65e+14,43008000
5300,6.3520,6.3886,6.4114,6.28e+14,6.71e+14,43417600
5350,6.3871,6.3861,6.4087,6.34e+14,6.77e+14,43827200
5400,6.5217,6.3816,6.4050,6.40e+14,6.84e+14,44236800
5450,6.3568,6.3793,6.4028,6.46e+14,6.90e+14,44646400
5500,6.3165,6.3720,6.3953,6.52e+14,6.96e+14,45056000
5550,6.4366,6.3773,6.4005,6.58e+14,7.03e+14,45465600
5600,6.2988,6.3701,6.3932,6.64e+14,7.09e+14,45875200
5650,6.3342,6.3647,6.3878,6.70e+14,7.15e+14,46284800
5700,6.3663,6.3636,6.3865,6.76e+14,7.22e+14,46694400
5750,6.5817,6.3592,6.3823,6.82e+14,7.28e+14,47104000
5800,6.2470,6.3554,6.3782,6.88e+14,7.34e+14,47513600
5850,6.4943,6.3525,6.3758,6.94e+14,7.41e+14,47923200
5900,6.3772,6.3494,6.3719,6.99e+14,7.47e+14,48332800
5950,6.4422,6.3469,6.3692,7.05e+14,7.53e+14,48742400
6000,6.2759,6.3438,6.3662,7.11e+14,7.60e+14,49152000
6050,6.4608,6.3424,6.3649,7.17e+14,7.66e+14,49561600
6100,6.3832,6.3383,6.3603,7.23e+14,7.72e+14,49971200
6150,6.2913,6.3381,6.3605,7.29e+14,7.79e+14,50380800
6200,6.3549,6.3350,6.3571,7.35e+14,7.85e+14,50790400
6250,6.3876,6.3345,6.3558,7.41e+14,7.91e+14,51200000
