step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
50,8.5996,8.5903,8.7546,3.87e+12,4.16e+12,409600
100,7.5462,7.7104,7.7675,7.83e+12,8.32e+12,819200
150,7.6519,7.7628,7.7965,1.18e+13,1.25e+13,1228800
200,7.7137,7.8245,7.8571,1.57e+13,1.66e+13,1638400
250,7.6488,7.7781,7.8106,1.97e+13,2.08e+13,2048000
300,7.7353,7.7568,7.7797,2.36e+13,2.50e+13,2457600
350,7.5746,7.7367,7.7510,2.76e+13,2.91e+13,2867200
400,7.6790,7.7333,7.7455,3.15e+13,3.33e+13,3276800
450,7.5033,7.7682,7.7781,3.55e+13,3.74e+13,3686400
500,7.6771,7.7224,7.7341,3.94e+13,4.16e+13,4096000
550,7.6111,7.7005,7.7126,4.34e+13,4.57e+13,4505600
600,7.5639,7.6825,7.6998,4.74e+13,4.99e+13,4915200
650,7.5179,7.5435,7.5546,5.13e+13,5.41e+13,5324800
700,7.3596,7.4892,7.5038,5.53e+13,5.82e+13,5734400
750,7.3982,7.4433,7.4562,5.92e+13,6.24e+13,6144000
800,7.3098,7.4058,7.4207,6.32e+13,6.65e+13,6553600
850,7.2178,7.3127,7.3180,6.71e+13,7.07e+13,6963200
900,7.0432,7.1950,7.2276,7.11e+13,7.49e+13,7372800
950,7.1173,7.1391,7.2020,7.50e+13,7.90e+13,7782400
1000,7.0241,7.0987,7.1931,7.90e+13,8.32e+13,8192000
1050,6.9754,7.0316,7.0844,8.29e+13,8.73e+13,8601600
1100,6.8836,7.0002,7.0459,8.69e+13,9.15e+13,9011200
1150,6.9674,6.9628,6.9865,9.08e+13,9.57e+13,9420800
1200,6.8556,6.9377,6.9827,9.48e+13,9.98e+13,9830400
1250,6.8871,6.9256,6.9569,9.87e+13,1.04e+14,10240000
1300,6.8834,6.8803,6.9377,1.03e+14,1.08e+14,10649600
1350,6.7819,6.8595,6.8859,1.07e+14,1.12e+14,11059200
1400,6.7888,6.8699,6.8826,1.11e+14,1.16e+14,11468800
1450,6.7885,6.7986,6.8210,1.15e+14,1.21e+14,11878400
1500,6.7718,6.7856,6.8235,1.18e+14,1.25e+14,12288000
1550,6.7000,6.7734,6.8172,1.22e+14,1.29e+14,12697600
1600,6.6087,6.7405,6.7692,1.26e+14,1.33e+14,13107200
1650,6.7709,6.7265,6.7463,1.30e+14,1.37e+14,13516800
1700,6.6500,6.7085,6.7403,1.34e+14,1.41e+14,13926400
1750,6.6742,6.7048,6.7365,1.38e+14,1.46e+14,14336000
1800,6.6570,6.6956,6.7051,1.42e+14,1.50e+14,14745600
1850,6.6024,6.6715,6.6934,1.46e+14,1.54e+14,15155200
1900,6.7151,6.6454,6.6655,1.50e+14,1.58e+14,15564800
1950,6.5951,6.6264,6.6487,1.54e+14,1.62e+14,15974400
2000,6.5429,6.6189,6.6398,1.58e+14,1.66e+14,16384000
