step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
4450,5.8101,5.9480,5.9774,1.06e+15,1.10e+15,36454400
4500,5.8685,5.9300,5.9623,1.07e+15,1.11e+15,36864000
4550,5.9474,5.9288,5.9618,1.08e+15,1.12e+15,37273600
4600,5.8156,5.9301,5.9619,1.09e+15,1.14e+15,37683200
4650,5.7567,5.9850,6.0096,1.10e+15,1.15e+15,38092800
4700,5.8844,5.9292,5.9642,1.11e+15,1.16e+15,38502400
4750,5.8403,5.9472,5.9858,1.13e+15,1.17e+15,38912000
4800,6.0025,5.9242,5.9527,1.14e+15,1.19e+15,39321600
4850,5.7826,5.9378,5.9612,1.15e+15,1.20e+15,39731200
4900,5.8702,5.8980,5.9274,1.16e+15,1.21e+15,40140800
4950,5.8559,5.9057,5.9356,1.17e+15,1.22e+15,40550400
5000,5.7390,5.8967,5.9270,1.19e+15,1.23e+15,40960000
5050,5.8910,5.8744,5.9003,1.20e+15,1.25e+15,41369600
5100,5.8746,5.8865,5.9156,1.21e+15,1.26e+15,41779200
5150,5.8360,5.8990,5.9254,1.22e+15,1.27e+15,42188800
5200,5.9472,5.8935,5.9238,1.23e+15,1.28e+15,42598400
5250,5.8597,5.9534,5.9797,1.24e+15,1.30e+15,43008000
5300,5.7009,5.9027,5.9389,1.26e+15,1.31e+15,43417600
5350,5.7015,5.9325,5.9602,1.27e+15,1.32e+15,43827200
5400,5.7619,5.9596,5.9929,1.28e+15,1.33e+15,44236800
5450,5.8199,5.9519,5.9831,1.29e+15,1.35e+15,44646400
5500,5.9292,5.8730,5.8967,1.30e+15,1.36e+15,45056000
5550,5.6857,5.8863,5.9159,1.32e+15,1.37e+15,45465600
5600,5.6088,5.8911,5.9170,1.33e+15,1.38e+15,45875200
5650,5.7850,5.8654,5.8923,1.34e+15,1.40e+15,46284800
5700,6.0204,5.8683,5.8988,1.35e+15,1.41e+15,46694400
5750,5.8720,5.8553,5.8879,1.36e+15,1.42e+15,47104000
5800,5.6670,5.8520,5.8830,1.38e+15,1.43e+15,47513600
5850,5.9241,5.8432,5.8743,1.39e+15,1.44e+15,47923200
5900,5.8652,5.8743,5.9037,1.40e+15,1.46e+15,48332800
5950,5.7888,5.8758,5.9088,1.41e+15,1.47e+15,48742400
6000,5.7099,5.8716,5.9053,1.42e+15,1.48e+15,49152000
6050,5.7933,5.8553,5.8843,1.43e+15,1.49e+15,49561600
6100,5.7230,5.8515,5.8815,1.45e+15,1.51e+15,49971200
6150,5.8509,5.8492,5.8780,1.46e+15,1.52e+15,50380800
6200,5.6689,5.8348,5.8586,1.47e+15,1.53e+15,50790400
6250,5.7443,5.8786,5.9049,1.48e+15,1.54e+15,51200000
6300,5.7909,5.8384,5.8686,1.49e+15,1.56e+15,51609600
6350,5.7700,5.8503,5.8705,1.51e+15,1.57e+15,52019200
6400,5.7794,5.8750,5.9061,1.52e+15,1.58e+15,52428800
6450,5.8357,5.8871,5.9062,1.53e+15,1.59e+15,52838400
