step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
50,9.4830,9.4801,9.8419,3.10e+13,3.43e+13,409600
100,7.8917,7.9059,8.2657,6.26e+13,6.87e+13,819200
150,7.6483,7.7198,8.0660,9.42e+13,1.03e+14,1228800
200,7.6013,7.7538,8.0905,1.26e+14,1.37e+14,1638400
250,7.5942,7.7550,8.0866,1.57e+14,1.72e+14,2048000
300,7.6489,7.7905,8.1247,1.89e+14,2.06e+14,2457600
350,7.6863,7.7516,7.8309,2.21e+14,2.40e+14,2867200
400,7.8068,7.7698,7.8531,2.52e+14,2.75e+14,3276800
450,7.5650,7.8493,7.8714,2.84e+14,3.09e+14,3686400
500,7.5371,7.6864,7.6982,3.16e+14,3.43e+14,4096000
550,7.4460,7.5833,7.6042,3.47e+14,3.78e+14,4505600
600,7.3586,7.4852,7.5013,3.79e+14,4.12e+14,4915200
650,7.2082,7.4380,7.4023,4.10e+14,4.46e+14,5324800
700,7.2347,7.3514,7.3198,4.42e+14,4.81e+14,5734400
750,7.1208,7.2418,7.2610,4.74e+14,5.15e+14,6144000
800,6.9263,7.2230,7.1914,5.05e+14,5.49e+14,6553600
850,6.8560,7.1512,7.1213,5.37e+14,5.84e+14,6963200
900,6.8889,7.0269,7.0495,5.69e+14,6.18e+14,7372800
950,6.6732,6.9636,6.9903,6.00e+14,6.52e+14,7782400
1000,6.5938,6.9253,6.9313,6.32e+14,6.87e+14,8192000
1050,6.7048,6.8454,6.8531,6.63e+14,7.21e+14,8601600
1100,6.6472,6.8119,6.8163,6.95e+14,7.55e+14,9011200
1150,6.5782,6.6726,6.7348,7.27e+14,7.90e+14,9420800
1200,6.3588,6.7363,6.7319,7.58e+14,8.24e+14,9830400
1250,6.4912,6.7521,6.6725,7.90e+14,8.58e+14,10240000
1300,6.4021,6.6525,6.6356,8.21e+14,8.93e+14,10649600
1350,6.4641,6.6488,6.6356,8.53e+14,9.27e+14,11059200
1400,6.2845,6.5862,6.5697,8.85e+14,9.61e+14,11468800
1450,6.3593,6.5666,6.5740,9.16e+14,9.96e+14,11878400
1500,6.3391,6.5023,6.4925,9.48e+14,1.03e+15,12288000
1550,6.2768,6.4680,6.4447,9.80e+14,1.06e+15,12697600
1600,6.1117,6.3920,6.4245,1.01e+15,1.10e+15,13107200
1650,6.2476,6.3711,6.3960,1.04e+15,1.13e+15,13516800
