step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
50,8.8531,8.8655,9.1890,1.55e+13,1.66e+13,409600
100,7.7266,7.7926,8.1761,3.13e+13,3.32e+13,819200
150,7.5322,7.8099,7.8979,4.71e+13,4.97e+13,1228800
200,7.7134,7.8884,7.8915,6.29e+13,6.63e+13,1638400
250,7.7169,7.8887,7.8942,7.87e+13,8.29e+13,2048000
300,7.6100,7.8197,7.8823,9.45e+13,9.95e+13,2457600
350,7.4744,7.7682,7.7766,1.10e+14,1.16e+14,2867200
400,7.4161,7.6773,7.6832,1.26e+14,1.33e+14,3276800
450,7.3041,7.6693,7.5834,1.42e+14,1.49e+14,3686400
500,7.1127,7.5421,7.4503,1.58e+14,1.66e+14,4096000
550,7.1547,7.4603,7.3533,1.74e+14,1.82e+14,4505600
600,7.0399,7.3898,7.2739,1.89e+14,1.99e+14,4915200
650,6.9657,7.3019,7.1957,2.05e+14,2.16e+14,5324800
700,6.7499,7.1170,7.0662,2.21e+14,2.32e+14,5734400
750,6.7172,6.9183,6.9387,2.37e+14,2.49e+14,6144000
800,6.5291,6.8770,6.8887,2.53e+14,2.65e+14,6553600
850,6.6542,6.7961,6.8083,2.68e+14,2.82e+14,6963200
900,6.5391,6.7393,6.7540,2.84e+14,2.98e+14,7372800
950,6.6074,6.7147,6.7341,3.00e+14,3.15e+14,7782400
1000,6.4136,6.6705,6.6880,3.16e+14,3.32e+14,8192000
1050,6.3373,6.6305,6.6447,3.32e+14,3.48e+14,8601600
1100,6.3439,6.5772,6.5959,3.47e+14,3.65e+14,9011200
1150,6.3321,6.4691,6.4870,3.63e+14,3.81e+14,9420800
1200,6.2465,6.4659,6.4809,3.79e+14,3.98e+14,9830400
1250,6.1597,6.4288,6.4401,3.95e+14,4.15e+14,10240000
1300,6.1365,6.3658,6.3861,4.11e+14,4.31e+14,10649600
1350,6.0590,6.3521,6.3681,4.27e+14,4.48e+14,11059200
1400,6.0763,6.3138,6.3306,4.42e+14,4.64e+14,11468800
1450,6.1418,6.2723,6.2892,4.58e+14,4.81e+14,11878400
1500,6.1886,6.2575,6.2754,4.74e+14,4.97e+14,12288000
1550,6.0977,6.2367,6.2511,4.90e+14,5.14e+14,12697600
1600,5.9771,6.2444,6.2570,5.06e+14,5.31e+14,13107200
1650,6.0257,6.2306,6.2485,5.21e+14,5.47e+14,13516800
1700,5.9365,6.1806,6.2002,5.37e+14,5.64e+14,13926400
1750,6.0554,6.1748,6.1928,5.53e+14,5.80e+14,14336000
1800,5.9258,6.1750,6.1895,5.69e+14,5.97e+14,14745600
1850,6.0055,6.1924,6.1970,5.85e+14,6.14e+14,15155200
1900,5.9636,6.1246,6.1417,6.00e+14,6.30e+14,15564800
1950,6.0264,6.1333,6.1534,6.16e+14,6.47e+14,15974400
2000,5.8802,6.1117,6.1276,6.32e+14,6.63e+14,16384000
2050,5.8690,6.0754,6.0954,6.48e+14,6.80e+14,16793600
2100,6.0031,6.0622,6.0799,6.64e+14,6.96e+14,17203200
2150,5.8876,6.0388,6.0568,6.80e+14,7.13e+14,17612800
2200,5.7386,6.0584,6.0779,6.95e+14,7.30e+14,18022400
2250,5.7787,6.0319,6.0514,7.11e+14,7.46e+14,18432000
2300,5.7185,5.9844,6.0033,7.27e+14,7.63e+14,18841600
2350,5.8495,5.9952,6.0197,7.43e+14,7.79e+14,19251200
2400,5.7711,5.9506,5.9730,7.59e+14,7.96e+14,19660800
2450,5.7524,5.9455,5.9667,7.74e+14,8.13e+14,20070400
2500,5.6777,5.9682,5.9800,7.90e+14,8.29e+14,20480000
2550,5.7586,5.9299,5.9528,8.06e+14,8.46e+14,20889600
2600,5.7361,5.9151,5.9381,8.22e+14,8.62e+14,21299200
2650,5.7017,5.9386,5.9491,8.38e+14,8.79e+14,21708800
2700,5.7285,5.8835,5.9049,8.53e+14,8.95e+14,22118400
2750,5.7784,5.8863,5.9097,8.69e+14,9.12e+14,22528000
2800,5.7375,5.8803,5.9033,8.85e+14,9.29e+14,22937600
2850,5.7863,5.8734,5.9010,9.01e+14,9.45e+14,23347200
2900,5.7907,5.8716,5.8982,9.17e+14,9.62e+14,23756800
2950,5.7621,5.8685,5.8886,9.32e+14,9.78e+14,24166400
3000,5.8304,5.8715,5.8815,9.48e+14,9.95e+14,24576000
3050,5.5408,5.8512,5.8775,9.64e+14,1.01e+15,24985600
3100,5.6827,5.8414,5.8728,9.80e+14,1.03e+15,25395200
3150,5.8663,5.8497,5.8774,9.96e+14,1.04e+15,25804800
