step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,6.6033,6.7741,3.35e+13,3.35e+13,1638400
400,6.2992,6.2362,6.70e+13,6.70e+13,3276800
600,5.9941,5.9912,1.00e+14,1.00e+14,4915200
800,5.7696,5.8481,1.34e+14,1.34e+14,6553600
1000,5.5417,5.7549,1.67e+14,1.67e+14,8192000
1200,5.7407,5.6840,2.01e+14,2.01e+14,9830400
1400,5.5153,5.6333,2.34e+14,2.34e+14,11468800
1600,5.5915,5.5949,2.68e+14,2.68e+14,13107200
