Depth,Optimizer,Seed,Loss
6,adam,42,4.0235
6,adam,123,4.1171
6,adam,456,3.8598
6,adamw,42,4.3786
6,adamw,123,3.6612
6,adamw,456,3.8533
6,adam_summary,N/A,4.0001 ± 0.1063
6,adamw_summary,N/A,3.9644 ± 0.3032
