# modern_transformer_iter2_combined: parabolic-vertex scaling law, eta* = 0.754674 * d^(-1.1628), R^2=0.9472
# Method: per-scale quadratic L_val = a*x^2 + b*x + c, x=ln(lr); eta* = exp(-b/(2a)); then log10(eta*) = alpha*log10(d) + beta.
# Standard procedure in Bjorck et al. 2025 (ICLR) and Google VaultGemma report.
hidden_dim,learning_rate,log10_lr
32,0.01341350,-1.8725
48,0.00837105,-2.0772
64,0.00599099,-2.2225
80,0.00462178,-2.3352
96,0.00373883,-2.4273
112,0.00312528,-2.5051
128,0.00267581,-2.5725
144,0.00233332,-2.6320
160,0.00206427,-2.6852
176,0.00184771,-2.7334
192,0.00166991,-2.7773
208,0.00152150,-2.8177
224,0.00139587,-2.8552
240,0.00128826,-2.8900
256,0.00119512,-2.9226
272,0.00111377,-2.9532
288,0.00104215,-2.9821
304,0.00097865,-3.0094
320,0.00092198,-3.0353
336,0.00087113,-3.0599
352,0.00082526,-3.0834
368,0.00078369,-3.1059
384,0.00074585,-3.1274
400,0.00071127,-3.1480
416,0.00067956,-3.1678
432,0.00065038,-3.1868
448,0.00062345,-3.2052
464,0.00059852,-3.2229
480,0.00057539,-3.2400
496,0.00055386,-3.2566
512,0.00053379,-3.2726
