# modern_transformer_iter2_combined: lr = 0.502350 * hidden_dim^(-1.0168), R^2=0.8693
hidden_dim,learning_rate,log10_lr
32,0.01481286,-1.8294
48,0.00980838,-2.0084
64,0.00732092,-2.1354
80,0.00583488,-2.2340
96,0.00484757,-2.3145
112,0.00414434,-2.3825
128,0.00361820,-2.4415
144,0.00320983,-2.4935
160,0.00288376,-2.5400
176,0.00261741,-2.5821
192,0.00239580,-2.6205
208,0.00220854,-2.6559
224,0.00204825,-2.6886
240,0.00190949,-2.7191
256,0.00178821,-2.7476
272,0.00168131,-2.7744
288,0.00158639,-2.7996
304,0.00150153,-2.8235
320,0.00142523,-2.8461
336,0.00135625,-2.8677
352,0.00129360,-2.8882
368,0.00123643,-2.9078
384,0.00118407,-2.9266
400,0.00113593,-2.9446
416,0.00109152,-2.9620
432,0.00105043,-2.9786
448,0.00101230,-2.9947
464,0.00097682,-3.0102
480,0.00094372,-3.0252
496,0.00091278,-3.0396
512,0.00088378,-3.0537
