step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.7412,7.7817,7.8269,3.15e+13,3.28e+13,1638400
400,7.6431,7.7644,7.7930,6.31e+13,6.55e+13,3276800
600,7.6138,7.6290,7.6532,9.47e+13,9.83e+13,4915200
800,7.2784,7.3386,7.3676,1.26e+14,1.31e+14,6553600
1000,7.0878,7.0743,7.1027,1.58e+14,1.64e+14,8192000
1200,6.8767,6.9125,6.9423,1.90e+14,1.97e+14,9830400
1400,6.7031,6.8196,6.8450,2.21e+14,2.29e+14,11468800
1600,6.7967,6.7613,6.7877,2.53e+14,2.62e+14,13107200
1800,6.6584,6.7243,6.7516,2.84e+14,2.95e+14,14745600
