step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.4025,7.2831,7.2857,3.15e+13,3.28e+13,1638400
400,7.1381,7.0689,7.0691,6.31e+13,6.55e+13,3276800
600,7.1175,7.0252,7.0377,9.47e+13,9.83e+13,4915200
800,7.0328,6.9249,6.9339,1.26e+14,1.31e+14,6553600
1000,7.0884,6.8727,6.8802,1.58e+14,1.64e+14,8192000
1200,6.9878,6.8324,6.8411,1.90e+14,1.97e+14,9830400
1400,6.8969,6.7895,6.7973,2.21e+14,2.29e+14,11468800
1600,6.9984,6.7524,6.7592,2.53e+14,2.62e+14,13107200
1800,6.8841,6.7316,6.7392,2.84e+14,2.95e+14,14745600
