step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.4220,7.6695,7.7024,1.57e+13,1.65e+13,1638400
400,7.0127,7.1904,7.2141,3.15e+13,3.29e+13,3276800
600,6.7938,6.8875,6.9057,4.74e+13,4.94e+13,4915200
800,6.6270,6.7283,6.7494,6.32e+13,6.59e+13,6553600
1000,6.3902,6.6249,6.6457,7.90e+13,8.23e+13,8192000
1200,6.4166,6.5467,6.5683,9.48e+13,9.88e+13,9830400
1400,6.3501,6.4917,6.5110,1.11e+14,1.15e+14,11468800
1600,6.4602,6.4480,6.4669,1.26e+14,1.32e+14,13107200
1800,6.4840,6.4246,6.4438,1.42e+14,1.48e+14,14745600
