step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.6433,7.8648,8.2389,3.15e+13,3.47e+13,1638400
400,7.6696,7.8385,7.8451,6.31e+13,6.95e+13,3276800
600,7.6810,7.7901,7.7955,9.47e+13,1.04e+14,4915200
800,7.6740,7.7603,7.7650,1.26e+14,1.39e+14,6553600
1000,7.6773,7.7629,7.7657,1.58e+14,1.74e+14,8192000
1200,7.6561,7.7614,7.7626,1.90e+14,2.08e+14,9830400
1400,7.6632,7.7549,7.7561,2.21e+14,2.43e+14,11468800
1600,7.6343,7.7495,7.7500,2.53e+14,2.78e+14,13107200
1800,7.6033,7.7415,7.7422,2.84e+14,3.13e+14,14745600
2000,7.5615,7.7150,7.7151,3.16e+14,3.47e+14,16384000
2200,7.6837,7.7292,7.7294,3.48e+14,3.82e+14,18022400
2400,7.8248,7.7379,7.7381,3.79e+14,4.17e+14,19660800
2600,7.6388,7.7292,7.7294,4.11e+14,4.51e+14,21299200
2800,7.6241,7.7232,7.7237,4.43e+14,4.86e+14,22937600
3000,7.6327,7.7199,7.7200,4.74e+14,5.21e+14,24576000
3200,7.6344,7.7241,7.7242,5.06e+14,5.56e+14,26214400
3400,7.6137,7.7254,7.7257,5.37e+14,5.90e+14,27852800
3600,7.5962,7.7333,7.7332,5.69e+14,6.25e+14,29491200
3800,7.5857,7.7165,7.7165,6.01e+14,6.60e+14,31129600
4000,7.5346,7.7306,7.7305,6.32e+14,6.95e+14,32768000
4200,7.5241,7.5892,7.5910,6.64e+14,7.29e+14,34406400
4400,7.3471,7.4554,7.4662,6.95e+14,7.64e+14,36044800
4600,7.3655,7.4272,7.4422,7.27e+14,7.99e+14,37683200
4800,7.2732,7.4182,7.4387,7.59e+14,8.34e+14,39321600
5000,7.3294,7.4019,7.4195,7.90e+14,8.68e+14,40960000
5200,7.3615,7.3946,7.4086,8.22e+14,9.03e+14,42598400
5400,7.4087,7.3927,7.4030,8.54e+14,9.38e+14,44236800
5600,7.3402,7.3883,7.4026,8.85e+14,9.72e+14,45875200
5800,7.2548,7.3742,7.3904,9.17e+14,1.01e+15,47513600
6000,7.2985,7.3724,7.3834,9.48e+14,1.04e+15,49152000
6200,7.3295,7.3491,7.4235,9.80e+14,1.08e+15,50790400
6400,7.2285,7.3017,7.3145,1.01e+15,1.11e+15,52428800
6600,7.3008,7.2789,7.2886,1.04e+15,1.15e+15,54067200
6800,7.1877,7.2080,7.2194,1.07e+15,1.18e+15,55705600
7000,7.1067,7.0518,7.0781,1.11e+15,1.22e+15,57344000
7200,7.1130,6.9364,6.9620,1.14e+15,1.25e+15,58982400
7400,6.7883,6.8646,6.8982,1.17e+15,1.29e+15,60620800
7600,6.8716,6.8259,6.8610,1.20e+15,1.32e+15,62259200
7800,6.6851,6.7447,6.7776,1.23e+15,1.35e+15,63897600
8000,6.7719,6.7156,6.7464,1.26e+15,1.39e+15,65536000
8200,6.6931,6.6908,6.7164,1.30e+15,1.42e+15,67174400
8400,6.6655,6.6699,6.6978,1.33e+15,1.46e+15,68812800
8600,6.5492,6.6475,6.6826,1.36e+15,1.49e+15,70451200
