step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.8151,8.0943,8.1179,3.15e+13,3.47e+13,1638400
400,7.7022,7.8809,7.8821,6.31e+13,6.95e+13,3276800
600,7.6842,7.7967,7.7990,9.47e+13,1.04e+14,4915200
800,7.6761,7.7682,7.7682,1.26e+14,1.39e+14,6553600
1000,7.6787,7.7637,7.7662,1.58e+14,1.74e+14,8192000
1200,7.6623,7.8749,7.8748,1.90e+14,2.08e+14,9830400
1400,7.6690,7.8461,7.8461,2.21e+14,2.43e+14,11468800
1600,7.6464,7.8147,7.8148,2.53e+14,2.78e+14,13107200
1800,7.6169,7.7989,7.7989,2.84e+14,3.13e+14,14745600
2000,7.5703,7.7697,7.7698,3.16e+14,3.47e+14,16384000
2200,7.6896,7.7933,7.7935,3.48e+14,3.82e+14,18022400
2400,7.8396,7.8011,7.8014,3.79e+14,4.17e+14,19660800
2600,7.6490,7.7884,7.7886,4.11e+14,4.51e+14,21299200
2800,7.6178,7.7760,7.7761,4.43e+14,4.86e+14,22937600
3000,7.6242,7.7763,7.7764,4.74e+14,5.21e+14,24576000
3200,7.6451,7.7804,7.7805,5.06e+14,5.56e+14,26214400
3400,7.6274,7.7783,7.7785,5.37e+14,5.90e+14,27852800
3600,7.6015,7.7879,7.7880,5.69e+14,6.25e+14,29491200
3800,7.5876,7.7595,7.7598,6.01e+14,6.60e+14,31129600
4000,7.5203,7.7779,7.7781,6.32e+14,6.95e+14,32768000
4200,7.6609,7.7520,7.7523,6.64e+14,7.29e+14,34406400
4400,7.5911,7.7478,7.7482,6.95e+14,7.64e+14,36044800
4600,7.6511,7.7574,7.7577,7.27e+14,7.99e+14,37683200
4800,7.5691,7.7613,7.7616,7.59e+14,8.34e+14,39321600
5000,7.6766,7.7639,7.7643,7.90e+14,8.68e+14,40960000
5200,7.6734,7.7492,7.7496,8.22e+14,9.03e+14,42598400
5400,7.7142,7.7535,7.7539,8.54e+14,9.38e+14,44236800
5600,7.6990,7.7582,7.7585,8.85e+14,9.72e+14,45875200
5800,7.5396,7.7456,7.7459,9.17e+14,1.01e+15,47513600
6000,7.6241,7.7412,7.7417,9.48e+14,1.04e+15,49152000
6200,7.6172,7.7300,7.7304,9.80e+14,1.08e+15,50790400
6400,7.5764,7.7229,7.7234,1.01e+15,1.11e+15,52428800
6600,7.6939,7.7234,7.7238,1.04e+15,1.15e+15,54067200
6800,7.6462,7.7255,7.7259,1.07e+15,1.18e+15,55705600
7000,7.7190,7.7165,7.7170,1.11e+15,1.22e+15,57344000
7200,7.7962,7.7167,7.7173,1.14e+15,1.25e+15,58982400
7400,7.6341,7.7147,7.7152,1.17e+15,1.29e+15,60620800
7600,7.7350,7.7106,7.7112,1.20e+15,1.32e+15,62259200
7800,7.6171,7.6839,7.6844,1.23e+15,1.35e+15,63897600
8000,7.7032,7.6897,7.6903,1.26e+15,1.39e+15,65536000
8200,7.6061,7.6961,7.6964,1.30e+15,1.42e+15,67174400
8400,7.6429,7.7027,7.7030,1.33e+15,1.46e+15,68812800
8600,7.5491,7.7004,7.7006,1.36e+15,1.49e+15,70451200
