step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.6919,7.8688,7.8907,3.15e+13,3.47e+13,1638400
400,7.7370,7.9207,7.9205,6.31e+13,6.95e+13,3276800
600,7.7447,7.9101,7.9098,9.47e+13,1.04e+14,4915200
800,7.7267,7.8438,7.8438,1.26e+14,1.39e+14,6553600
1000,7.7874,7.9048,7.9045,1.58e+14,1.74e+14,8192000
1200,7.7200,7.9074,7.9072,1.90e+14,2.08e+14,9830400
1400,7.7066,7.9200,7.9198,2.21e+14,2.43e+14,11468800
1600,7.6922,7.9045,7.9042,2.53e+14,2.78e+14,13107200
1800,7.6481,7.8260,7.8259,2.84e+14,3.13e+14,14745600
2000,7.6466,7.8217,7.8222,3.16e+14,3.47e+14,16384000
2200,7.7029,7.8823,7.8825,3.48e+14,3.82e+14,18022400
2400,7.8655,7.8443,7.8447,3.79e+14,4.17e+14,19660800
2600,7.6685,7.8199,7.8201,4.11e+14,4.51e+14,21299200
2800,7.6270,7.8147,7.8149,4.43e+14,4.86e+14,22937600
3000,7.6450,7.8134,7.8137,4.74e+14,5.21e+14,24576000
3200,7.6597,7.8216,7.8219,5.06e+14,5.56e+14,26214400
3400,7.6410,7.8182,7.8185,5.37e+14,5.90e+14,27852800
3600,7.6189,7.8297,7.8300,5.69e+14,6.25e+14,29491200
3800,7.5985,7.7965,7.7967,6.01e+14,6.60e+14,31129600
4000,7.5207,7.8141,7.8144,6.32e+14,6.95e+14,32768000
4200,7.6699,7.7841,7.7844,6.64e+14,7.29e+14,34406400
4400,7.5965,7.7772,7.7776,6.95e+14,7.64e+14,36044800
4600,7.6548,7.7915,7.7919,7.27e+14,7.99e+14,37683200
4800,7.5711,7.7907,7.7910,7.59e+14,8.34e+14,39321600
5000,7.6792,7.7935,7.7940,7.90e+14,8.68e+14,40960000
5200,7.6707,7.7796,7.7799,8.22e+14,9.03e+14,42598400
5400,7.7176,7.7793,7.7797,8.54e+14,9.38e+14,44236800
5600,7.7062,7.7837,7.7841,8.85e+14,9.72e+14,45875200
5800,7.5366,7.7688,7.7691,9.17e+14,1.01e+15,47513600
6000,7.6199,7.7655,7.7660,9.48e+14,1.04e+15,49152000
6200,7.6042,7.7501,7.7505,9.80e+14,1.08e+15,50790400
6400,7.5718,7.7433,7.7437,1.01e+15,1.11e+15,52428800
6600,7.6925,7.7441,7.7446,1.04e+15,1.15e+15,54067200
6800,7.6362,7.7466,7.7470,1.07e+15,1.18e+15,55705600
7000,7.7090,7.7350,7.7356,1.11e+15,1.22e+15,57344000
7200,7.7918,7.7323,7.7329,1.14e+15,1.25e+15,58982400
7400,7.6273,7.7281,7.7286,1.17e+15,1.29e+15,60620800
7600,7.7303,7.7241,7.7247,1.20e+15,1.32e+15,62259200
7800,7.6026,7.7000,7.7005,1.23e+15,1.35e+15,63897600
8000,7.6989,7.7042,7.7046,1.26e+15,1.39e+15,65536000
8200,7.6040,7.7110,7.7114,1.30e+15,1.42e+15,67174400
8400,7.6336,7.7190,7.7194,1.33e+15,1.46e+15,68812800
8600,7.5485,7.7105,7.7102,1.36e+15,1.49e+15,70451200
