step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.2644,7.3825,7.3883,1.57e+13,1.65e+13,1638400
400,6.6902,6.9195,6.9243,3.15e+13,3.29e+13,3276800
600,6.7047,6.8673,6.8729,4.74e+13,4.94e+13,4915200
800,6.4623,6.6802,6.6888,6.32e+13,6.59e+13,6553600
1000,6.4910,6.6083,6.6096,7.90e+13,8.23e+13,8192000
1200,6.4535,6.5346,6.5410,9.48e+13,9.88e+13,9830400
1400,6.2940,6.4824,6.4881,1.11e+14,1.15e+14,11468800
1600,6.3663,6.4280,6.4407,1.26e+14,1.32e+14,13107200
1800,6.2908,6.3807,6.3979,1.42e+14,1.48e+14,14745600
