step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.6771,7.9038,7.9189,3.93e+13,4.51e+13,1638400
400,7.5832,7.8468,7.8481,7.89e+13,9.02e+13,3276800
600,7.8010,7.8134,7.8138,1.18e+14,1.35e+14,4915200
800,7.6690,7.8039,7.8041,1.58e+14,1.80e+14,6553600
1000,7.6346,7.7822,7.7829,1.97e+14,2.26e+14,8192000
1200,7.6114,7.7684,7.7696,2.37e+14,2.71e+14,9830400
1400,7.5721,7.7596,7.7601,2.76e+14,3.16e+14,11468800
1600,7.6187,7.7529,7.7528,3.16e+14,3.61e+14,13107200
1800,7.5808,7.7590,7.7562,3.56e+14,4.06e+14,14745600
2000,7.6044,7.7518,7.7516,3.95e+14,4.51e+14,16384000
2200,7.5476,7.7536,7.7528,4.35e+14,4.96e+14,18022400
2400,7.5899,7.7517,7.7517,4.74e+14,5.41e+14,19660800
2600,7.6960,7.7515,7.7517,5.14e+14,5.86e+14,21299200
2800,7.6063,7.7689,7.7683,5.53e+14,6.32e+14,22937600
3000,7.6002,7.7436,7.7434,5.93e+14,6.77e+14,24576000
3200,7.5731,7.7439,7.7409,6.32e+14,7.22e+14,26214400
3400,7.5762,7.7430,7.7416,6.72e+14,7.67e+14,27852800
3600,7.6942,7.7348,7.7353,7.11e+14,8.12e+14,29491200
3800,7.5787,7.7511,7.7502,7.51e+14,8.57e+14,31129600
4000,7.6973,7.7374,7.7372,7.90e+14,9.02e+14,32768000
4200,7.6191,7.7526,7.7525,8.30e+14,9.47e+14,34406400
4400,7.5867,7.7328,7.7334,8.69e+14,9.93e+14,36044800
4600,7.7153,7.7354,7.7356,9.09e+14,1.04e+15,37683200
4800,7.6473,7.7304,7.7305,9.48e+14,1.08e+15,39321600
5000,7.6137,7.7232,7.7234,9.88e+14,1.13e+15,40960000
5200,7.6297,7.7251,7.7252,1.03e+15,1.17e+15,42598400
5400,7.7728,7.7245,7.7246,1.07e+15,1.22e+15,44236800
5600,7.6354,7.7324,7.7321,1.11e+15,1.26e+15,45875200
5800,7.6412,7.7266,7.7266,1.15e+15,1.31e+15,47513600
6000,7.6662,7.7177,7.7177,1.19e+15,1.35e+15,49152000
6200,7.6456,7.7187,7.7187,1.23e+15,1.40e+15,50790400
6400,7.6163,7.7225,7.7226,1.26e+15,1.44e+15,52428800
6600,7.5158,7.7208,7.7208,1.30e+15,1.49e+15,54067200
6800,7.6691,7.7174,7.7174,1.34e+15,1.53e+15,55705600
7000,7.5720,7.7152,7.7152,1.38e+15,1.58e+15,57344000
7200,7.5601,7.7245,7.7245,1.42e+15,1.62e+15,58982400
7400,7.5496,7.7222,7.7222,1.46e+15,1.67e+15,60620800
7600,7.6082,7.7171,7.7171,1.50e+15,1.71e+15,62259200
7800,7.6492,7.7224,7.7222,1.54e+15,1.76e+15,63897600
8000,7.7071,7.7145,7.7146,1.58e+15,1.80e+15,65536000
8200,7.6383,7.7147,7.7147,1.62e+15,1.85e+15,67174400
8400,7.6473,7.7128,7.7127,1.66e+15,1.89e+15,68812800
8600,7.6935,7.7081,7.7081,1.70e+15,1.94e+15,70451200
8800,7.6264,7.7096,7.7096,1.74e+15,1.99e+15,72089600
9000,7.7340,7.7072,7.7073,1.78e+15,2.03e+15,73728000
9200,7.7835,7.7076,7.7076,1.82e+15,2.08e+15,75366400
9400,7.6573,7.7077,7.7077,1.86e+15,2.12e+15,77004800
9600,7.5206,7.7046,7.7046,1.90e+15,2.17e+15,78643200
9800,7.6453,7.7022,7.7023,1.94e+15,2.21e+15,80281600
10000,7.6535,7.7052,7.7052,1.98e+15,2.26e+15,81920000
10200,7.6482,7.7039,7.7040,2.02e+15,2.30e+15,83558400
10400,7.6066,7.7046,7.7046,2.06e+15,2.35e+15,85196800
10600,7.6409,7.7046,7.7046,2.09e+15,2.39e+15,86835200
10800,7.5939,7.7042,7.7042,2.13e+15,2.44e+15,88473600
11000,7.6253,7.7038,7.7038,2.17e+15,2.48e+15,90112000
