step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.6588,7.8225,7.8257,2.36e+13,2.53e+13,1638400
400,7.6196,7.7592,7.7587,4.73e+13,5.06e+13,3276800
600,7.6384,7.7053,7.7057,7.10e+13,7.60e+13,4915200
800,7.6779,7.6943,7.6954,9.47e+13,1.01e+14,6553600
1000,7.6525,7.6847,7.6857,1.18e+14,1.27e+14,8192000
1200,7.5301,7.6731,7.6736,1.42e+14,1.52e+14,9830400
1400,7.6035,7.6728,7.6731,1.66e+14,1.77e+14,11468800
1600,7.7092,7.6660,7.6666,1.90e+14,2.03e+14,13107200
1800,7.6023,7.6684,7.6688,2.13e+14,2.28e+14,14745600
2000,7.6766,7.6650,7.6654,2.37e+14,2.53e+14,16384000
2200,7.5921,7.6610,7.6614,2.61e+14,2.78e+14,18022400
2400,7.4950,7.6558,7.6559,2.84e+14,3.04e+14,19660800
2600,7.6422,7.6575,7.6576,3.08e+14,3.29e+14,21299200
2800,7.5889,7.6505,7.6506,3.32e+14,3.54e+14,22937600
3000,7.5658,7.6517,7.6517,3.56e+14,3.80e+14,24576000
3200,7.6778,7.6619,7.6620,3.79e+14,4.05e+14,26214400
3400,7.5529,7.6459,7.6459,4.03e+14,4.30e+14,27852800
3600,7.6548,7.6428,7.6429,4.27e+14,4.56e+14,29491200
3800,7.6921,7.6462,7.6463,4.50e+14,4.81e+14,31129600
4000,7.7629,7.6397,7.6399,4.74e+14,5.06e+14,32768000
4200,7.6144,7.6430,7.6431,4.98e+14,5.32e+14,34406400
4400,7.5767,7.6478,7.6478,5.22e+14,5.57e+14,36044800
4600,7.6083,7.6331,7.6332,5.45e+14,5.82e+14,37683200
4800,7.5851,7.6331,7.6332,5.69e+14,6.08e+14,39321600
5000,7.6553,7.6344,7.6344,5.93e+14,6.33e+14,40960000
5200,7.7192,7.6323,7.6324,6.16e+14,6.58e+14,42598400
5400,7.7485,7.6315,7.6316,6.40e+14,6.84e+14,44236800
5600,7.6006,7.6317,7.6318,6.64e+14,7.09e+14,45875200
5800,7.5571,7.6290,7.6291,6.88e+14,7.34e+14,47513600
6000,7.5938,7.6304,7.6304,7.11e+14,7.60e+14,49152000
6200,7.6528,7.6429,7.6428,7.35e+14,7.85e+14,50790400
