# historical_transformer_fair_combined_iter3: parabolic+argmin scaling law vs non-embedding N
# Fit: log10(eta*) = -0.2470 * log10(N) + -1.3831,  R^2 = 0.5490
# Equivalently: eta* = 4.138922e-02 * N^(-0.2470)
# N is computed per hidden_dim via experiment_utils.calculate_non_embedding_params
# (Kaplan et al. 2020 definition; matches Bjorck 2025 / Chinchilla protocol).
hidden_dim,N_non_embedding,learning_rate,log10_lr
32,74833,0.00258878,-2.5869
48,133201,0.00224516,-2.6488
64,246865,0.00192784,-2.7149
80,434257,0.00167683,-2.7755
96,713809,0.00148314,-2.8288
112,1103953,0.00133172,-2.8756
128,1623121,0.00121079,-2.9169
144,2289745,0.00111215,-2.9538
160,3122257,0.00103014,-2.9871
176,4139089,0.00096086,-3.0173
192,5358673,0.00090149,-3.0450
208,6799441,0.00085000,-3.0706
224,8479825,0.00080488,-3.0943
240,10418257,0.00076498,-3.1164
256,12633169,0.00072941,-3.1370
272,15142993,0.00069749,-3.1565
288,17966161,0.00066865,-3.1748
304,21121105,0.00064246,-3.1922
320,24626257,0.00061855,-3.2086
336,28500049,0.00059663,-3.2243
352,32760913,0.00057645,-3.2392
368,37427281,0.00055780,-3.2535
384,42517585,0.00054051,-3.2672
400,48050257,0.00052442,-3.2803
416,54043729,0.00050941,-3.2929
432,60516433,0.00049538,-3.3051
448,67486801,0.00048222,-3.3168
464,74973265,0.00046985,-3.3280
480,82994257,0.00045820,-3.3389
496,91568209,0.00044721,-3.3495
512,100713553,0.00043682,-3.3597
