# lstm_layer2_large: lr = 0.405523 * hidden_dim^(-0.6401), R^2=0.8133
hidden_dim,learning_rate,log10_lr
32,0.04411632,-1.3554
48,0.03403194,-1.4681
64,0.02830844,-1.5481
80,0.02454063,-1.6101
96,0.02183753,-1.6608
112,0.01978573,-1.7036
128,0.01816488,-1.7408
144,0.01684577,-1.7735
160,0.01574717,-1.8028
176,0.01481521,-1.8293
192,0.01401265,-1.8535
208,0.01331281,-1.8757
224,0.01269606,-1.8963
240,0.01214759,-1.9155
256,0.01165599,-1.9335
272,0.01121235,-1.9503
288,0.01080955,-1.9662
304,0.01044186,-1.9812
320,0.01010460,-1.9955
336,0.00979391,-2.0090
352,0.00950658,-2.0220
368,0.00923991,-2.0343
384,0.00899160,-2.0462
400,0.00875970,-2.0575
416,0.00854253,-2.0684
432,0.00833864,-2.0789
448,0.00814677,-2.0890
464,0.00796582,-2.0988
480,0.00779483,-2.1082
496,0.00763294,-2.1173
512,0.00747939,-2.1261
