# lstm_layer2_large: parabolic+argmin scaling law vs non-embedding N
# Fit: log10(eta*) = -0.3909 * log10(N) + 0.4224,  R^2 = 0.9955
# Equivalently: eta* = 2.645065e+00 * N^(-0.3909)
# N is computed per hidden_dim via experiment_utils.calculate_non_embedding_params
# (Kaplan et al. 2020 definition; matches Bjorck 2025 / Chinchilla protocol).
hidden_dim,N_non_embedding,learning_rate,log10_lr
32,66897,0.03436788,-1.4638
48,87505,0.03094302,-1.5094
64,116305,0.02768599,-1.5577
80,153297,0.02485287,-1.6046
96,198481,0.02246584,-1.6485
112,251857,0.02046865,-1.6889
128,313425,0.01879148,-1.7260
144,383185,0.01737180,-1.7602
160,461137,0.01615874,-1.7916
176,547281,0.01511234,-1.8207
192,641617,0.01420148,-1.8477
208,744145,0.01340190,-1.8728
224,854865,0.01269457,-1.8964
240,973777,0.01206445,-1.9185
256,1100881,0.01149952,-1.9393
272,1236177,0.01099009,-1.9590
288,1379665,0.01052829,-1.9776
304,1531345,0.01010765,-1.9953
320,1691217,0.00972281,-2.0122
336,1859281,0.00936931,-2.0283
352,2035537,0.00904340,-2.0437
368,2219985,0.00874190,-2.0584
384,2412625,0.00846211,-2.0725
400,2613457,0.00820170,-2.0861
416,2822481,0.00795869,-2.0992
432,3039697,0.00773134,-2.1117
448,3265105,0.00751814,-2.1239
464,3498705,0.00731778,-2.1356
480,3740497,0.00712910,-2.1470
496,3990481,0.00695107,-2.1579
512,4248657,0.00678279,-2.1686
