hidden_dim,eta_star_parabolic,best_grid_lr,r_squared,a,b,c,window_used,unstable,vertex_in_swept_range,n_dropped,warnings
32,0.034142772,0.031622777,0.987959,0.170695,1.15295,8.16404,8,False,True,0,""
64,0.025636099,0.031622777,0.994396,0.151019,1.10659,8.08653,8,False,True,0,""
128,0.019933554,0.031622777,0.965262,0.145342,1.13813,8.15291,8,False,True,0,""
256,0.011175727,0.01,0.982453,0.220967,1.98605,10.2335,8,False,True,0,""
384,0.0088696287,0.01,0.954694,0.211635,2,10.2572,8,False,True,0,""
512,0.0066625185,0.0056234133,0.999328,0.267881,2.68484,12.0218,8,False,True,0,""
