step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.9261,8.0090,8.0270,3.15e+13,3.28e+13,1638400
400,7.7898,7.9816,7.9923,6.31e+13,6.55e+13,3276800
600,7.8389,7.9026,7.9126,9.47e+13,9.83e+13,4915200
800,7.5198,7.5779,7.5903,1.26e+14,1.31e+14,6553600
1000,7.1347,7.1350,7.1465,1.58e+14,1.64e+14,8192000
1200,6.8132,6.8541,6.8679,1.90e+14,1.97e+14,9830400
1400,6.5821,6.7143,6.7280,2.21e+14,2.29e+14,11468800
1600,6.6543,6.6206,6.6337,2.53e+14,2.62e+14,13107200
1800,6.4879,6.5660,6.5799,2.84e+14,2.95e+14,14745600
