Depth,Final Loss with Adam,Final Loss with AdamW
2,1.714414541537945,1.7122191060812046
4,1.464442145365935,1.4845611200882838
6,1.3503572986676142,1.3159603973229725
8,1.2582012357620092,1.2837435889702578
10,1.2713441592760575,1.265045119019655
