# historical_transformer_iter2_combined: lr = 0.044417 * hidden_dim^(-0.7005), R^2=0.8010
hidden_dim,learning_rate,log10_lr
32,0.00391885,-2.4068
48,0.00294987,-2.5302
64,0.00241146,-2.6177
80,0.00206249,-2.6856
96,0.00181520,-2.7411
112,0.00162940,-2.7880
128,0.00148389,-2.8286
144,0.00136637,-2.8644
160,0.00126915,-2.8965
176,0.00118718,-2.9255
192,0.00111698,-2.9520
208,0.00105607,-2.9763
224,0.00100265,-2.9989
240,0.00095534,-3.0198
256,0.00091311,-3.0395
272,0.00087514,-3.0579
288,0.00084080,-3.0753
304,0.00080955,-3.0918
320,0.00078097,-3.1074
336,0.00075473,-3.1222
352,0.00073053,-3.1364
368,0.00070813,-3.1499
384,0.00068733,-3.1628
400,0.00066796,-3.1753
416,0.00064985,-3.1872
432,0.00063290,-3.1987
448,0.00061698,-3.2097
464,0.00060200,-3.2204
480,0.00058787,-3.2307
496,0.00057452,-3.2407
512,0.00056188,-3.2504
