step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
50,9.1920,9.1987,9.4935,2.32e+13,2.53e+13,409600
100,7.7205,7.8771,8.0223,4.70e+13,5.06e+13,819200
150,7.5967,7.8576,7.9235,7.07e+13,7.59e+13,1228800
200,7.6663,7.8705,7.9287,9.44e+13,1.01e+14,1638400
250,7.5707,7.9069,7.9530,1.18e+14,1.26e+14,2048000
300,7.6454,7.9308,7.9472,1.42e+14,1.52e+14,2457600
350,7.7328,7.8845,7.9002,1.66e+14,1.77e+14,2867200
400,7.7307,7.8635,7.8924,1.89e+14,2.02e+14,3276800
450,7.4117,7.6932,7.7294,2.13e+14,2.28e+14,3686400
500,7.4558,7.6241,7.6701,2.37e+14,2.53e+14,4096000
550,7.2148,7.4760,7.5258,2.60e+14,2.78e+14,4505600
600,7.2037,7.4183,7.4543,2.84e+14,3.04e+14,4915200
650,7.1838,7.2820,7.3423,3.08e+14,3.29e+14,5324800
700,6.9455,7.1999,7.2378,3.32e+14,3.54e+14,5734400
750,6.8114,7.1409,7.1793,3.55e+14,3.79e+14,6144000
800,6.7842,7.0925,7.1024,3.79e+14,4.05e+14,6553600
850,6.8572,6.9371,6.9597,4.03e+14,4.30e+14,6963200
900,6.6422,6.8737,6.9016,4.26e+14,4.55e+14,7372800
950,6.6980,6.8500,6.8605,4.50e+14,4.81e+14,7782400
1000,6.5816,6.7910,6.8047,4.74e+14,5.06e+14,8192000
1050,6.4941,6.7213,6.7387,4.98e+14,5.31e+14,8601600
1100,6.2994,6.7245,6.7337,5.21e+14,5.56e+14,9011200
1150,6.2360,6.6425,6.6622,5.45e+14,5.82e+14,9420800
1200,6.4866,6.5995,6.6198,5.69e+14,6.07e+14,9830400
1250,6.3911,6.5951,6.6124,5.92e+14,6.32e+14,10240000
1300,6.2307,6.5613,6.5796,6.16e+14,6.58e+14,10649600
1350,6.2027,6.5297,6.5468,6.40e+14,6.83e+14,11059200
1400,6.1576,6.5044,6.5246,6.64e+14,7.08e+14,11468800
1450,6.2208,6.4517,6.4707,6.87e+14,7.34e+14,11878400
1500,6.2261,6.4226,6.4414,7.11e+14,7.59e+14,12288000
1550,6.0831,6.3897,6.4095,7.35e+14,7.84e+14,12697600
1600,6.1334,6.3742,6.3938,7.58e+14,8.09e+14,13107200
1650,6.0441,6.3735,6.3919,7.82e+14,8.35e+14,13516800
1700,5.8919,6.3300,6.3542,8.06e+14,8.60e+14,13926400
1750,5.8046,6.3169,6.3360,8.30e+14,8.85e+14,14336000
1800,5.8783,6.3115,6.3378,8.53e+14,9.11e+14,14745600
1850,5.9575,6.2802,6.3023,8.77e+14,9.36e+14,15155200
1900,5.7954,6.2755,6.3013,9.01e+14,9.61e+14,15564800
1950,5.7781,6.2892,6.3127,9.24e+14,9.86e+14,15974400
2000,5.8436,6.2240,6.2513,9.48e+14,1.01e+15,16384000
2050,5.8523,6.2373,6.2523,9.72e+14,1.04e+15,16793600
2100,5.7701,6.2008,6.2242,9.96e+14,1.06e+15,17203200
2150,5.9378,6.1655,6.1906,1.02e+15,1.09e+15,17612800
