step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
4450,5.9124,5.9641,5.9908,7.03e+14,7.29e+14,36454400
4500,5.9100,5.9491,5.9774,7.11e+14,7.37e+14,36864000
4550,5.7583,5.9515,5.9802,7.19e+14,7.45e+14,37273600
4600,5.9143,5.9374,5.9648,7.27e+14,7.54e+14,37683200
4650,5.7731,5.9441,5.9741,7.35e+14,7.62e+14,38092800
4700,5.9366,5.9371,5.9612,7.43e+14,7.70e+14,38502400
4750,5.7578,5.9402,5.9668,7.51e+14,7.78e+14,38912000
4800,5.7544,5.9593,5.9836,7.59e+14,7.86e+14,39321600
4850,5.7942,5.9213,5.9522,7.67e+14,7.95e+14,39731200
4900,5.7933,5.9320,5.9612,7.75e+14,8.03e+14,40140800
4950,5.8240,5.9263,5.9568,7.82e+14,8.11e+14,40550400
5000,5.8102,5.9269,5.9566,7.90e+14,8.19e+14,40960000
5050,5.8682,5.9306,5.9591,7.98e+14,8.27e+14,41369600
5100,5.8006,5.9278,5.9588,8.06e+14,8.36e+14,41779200
5150,5.8199,5.9206,5.9543,8.14e+14,8.44e+14,42188800
5200,5.7643,5.9211,5.9514,8.22e+14,8.52e+14,42598400
5250,5.7727,5.9273,5.9513,8.30e+14,8.60e+14,43008000
5300,5.8496,5.9127,5.9407,8.38e+14,8.68e+14,43417600
5350,5.6858,5.9328,5.9564,8.46e+14,8.77e+14,43827200
5400,5.9079,5.9149,5.9460,8.54e+14,8.85e+14,44236800
5450,5.7989,5.9090,5.9414,8.61e+14,8.93e+14,44646400
5500,5.7785,5.9117,5.9417,8.69e+14,9.01e+14,45056000
5550,5.7680,5.9120,5.9512,8.77e+14,9.09e+14,45465600
5600,5.8510,5.8949,5.9301,8.85e+14,9.17e+14,45875200
5650,5.7171,5.9053,5.9374,8.93e+14,9.26e+14,46284800
5700,5.7811,5.8938,5.9278,9.01e+14,9.34e+14,46694400
5750,5.8042,5.8927,5.9260,9.09e+14,9.42e+14,47104000
5800,5.7032,5.8763,5.9061,9.17e+14,9.50e+14,47513600
5850,5.7182,5.8785,5.9118,9.25e+14,9.58e+14,47923200
5900,5.8255,5.8739,5.9048,9.33e+14,9.67e+14,48332800
5950,5.7962,5.8829,5.9132,9.41e+14,9.75e+14,48742400
6000,5.7091,5.8770,5.9092,9.48e+14,9.83e+14,49152000
6050,5.8677,5.8822,5.9099,9.56e+14,9.91e+14,49561600
6100,5.8238,5.8515,5.8854,9.64e+14,9.99e+14,49971200
6150,5.7783,5.8665,5.9016,9.72e+14,1.01e+15,50380800
6200,5.8098,5.8525,5.8823,9.80e+14,1.02e+15,50790400
6250,5.7380,5.8526,5.8844,9.88e+14,1.02e+15,51200000
6300,5.6924,5.8358,5.8678,9.96e+14,1.03e+15,51609600
6350,5.6770,5.8400,5.8708,1.00e+15,1.04e+15,52019200
6400,5.7003,5.8317,5.8651,1.01e+15,1.05e+15,52428800
6450,5.7459,5.8291,5.8658,1.02e+15,1.06e+15,52838400
6500,5.6958,5.8533,5.8853,1.03e+15,1.06e+15,53248000
6550,5.7902,5.8361,5.8708,1.04e+15,1.07e+15,53657600
6600,5.8888,5.8301,5.8627,1.04e+15,1.08e+15,54067200
6650,5.6984,5.8240,5.8578,1.05e+15,1.09e+15,54476800
6700,5.6834,5.8203,5.8556,1.06e+15,1.10e+15,54886400
6750,5.7124,5.8044,5.8373,1.07e+15,1.11e+15,55296000
6800,5.6582,5.8148,5.8476,1.07e+15,1.11e+15,55705600
6850,5.7001,5.8114,5.8436,1.08e+15,1.12e+15,56115200
6900,5.7081,5.8033,5.8344,1.09e+15,1.13e+15,56524800
6950,5.7443,5.8014,5.8390,1.10e+15,1.14e+15,56934400
7000,5.7821,5.8018,5.8371,1.11e+15,1.15e+15,57344000
7050,5.7515,5.7958,5.8293,1.11e+15,1.16e+15,57753600
7100,5.7115,5.8019,5.8353,1.12e+15,1.16e+15,58163200
7150,5.7550,5.8043,5.8386,1.13e+15,1.17e+15,58572800
7200,5.9144,5.8025,5.8328,1.14e+15,1.18e+15,58982400
7250,5.7655,5.7897,5.8228,1.15e+15,1.19e+15,59392000
7300,5.8202,5.7781,5.8132,1.15e+15,1.20e+15,59801600
7350,5.6933,5.7838,5.8161,1.16e+15,1.20e+15,60211200
7400,5.6318,5.7899,5.8189,1.17e+15,1.21e+15,60620800
7450,5.7039,5.7807,5.8147,1.18e+15,1.22e+15,61030400
7500,5.6337,5.7739,5.8101,1.19e+15,1.23e+15,61440000
