step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
4450,7.7204,7.7083,7.7083,7.03e+14,7.73e+14,36454400
4500,7.6430,7.7105,7.7105,7.11e+14,7.81e+14,36864000
4550,7.6143,7.7151,7.7150,7.19e+14,7.90e+14,37273600
4600,7.6477,7.7108,7.7107,7.27e+14,7.99e+14,37683200
4650,7.5227,7.7156,7.7155,7.35e+14,8.07e+14,38092800
4700,7.6515,7.7088,7.7089,7.43e+14,8.16e+14,38502400
4750,7.6123,7.7173,7.7174,7.51e+14,8.25e+14,38912000
4800,7.5647,7.7182,7.7183,7.59e+14,8.34e+14,39321600
4850,7.5972,7.7158,7.7158,7.67e+14,8.42e+14,39731200
4900,7.5837,7.7180,7.7180,7.75e+14,8.51e+14,40140800
4950,7.6155,7.7159,7.7158,7.82e+14,8.60e+14,40550400
5000,7.6780,7.7197,7.7196,7.90e+14,8.68e+14,40960000
5050,7.6914,7.7173,7.7173,7.98e+14,8.77e+14,41369600
5100,7.6410,7.7133,7.7133,8.06e+14,8.86e+14,41779200
5150,7.6338,7.7080,7.7081,8.14e+14,8.94e+14,42188800
5200,7.6767,7.7119,7.7119,8.22e+14,9.03e+14,42598400
5250,7.5271,7.7230,7.7229,8.30e+14,9.12e+14,43008000
5300,7.7189,7.7183,7.7184,8.38e+14,9.20e+14,43417600
5350,7.6641,7.7493,7.7489,8.46e+14,9.29e+14,43827200
5400,7.7157,7.7157,7.7158,8.54e+14,9.38e+14,44236800
5450,7.6621,7.7149,7.7150,8.61e+14,9.46e+14,44646400
5500,7.6631,7.7187,7.7189,8.69e+14,9.55e+14,45056000
5550,7.6616,7.7179,7.7180,8.77e+14,9.64e+14,45465600
5600,7.6927,7.7196,7.7198,8.85e+14,9.72e+14,45875200
5650,7.6638,7.7221,7.7223,8.93e+14,9.81e+14,46284800
5700,7.6834,7.7234,7.7236,9.01e+14,9.90e+14,46694400
5750,7.7811,7.7207,7.7208,9.09e+14,9.98e+14,47104000
5800,7.5441,7.7187,7.7186,9.17e+14,1.01e+15,47513600
5850,7.5771,7.7224,7.7223,9.25e+14,1.02e+15,47923200
5900,7.6761,7.7159,7.7159,9.33e+14,1.02e+15,48332800
5950,7.6506,7.7115,7.7115,9.41e+14,1.03e+15,48742400
6000,7.6285,7.7126,7.7124,9.48e+14,1.04e+15,49152000
6050,7.7649,7.7101,7.7102,9.56e+14,1.05e+15,49561600
6100,7.6526,7.7051,7.7051,9.64e+14,1.06e+15,49971200
6150,7.6962,7.7211,7.7208,9.72e+14,1.07e+15,50380800
6200,7.6230,7.7121,7.7119,9.80e+14,1.08e+15,50790400
