# modern_transformer: lr = 0.472455 * hidden_dim^(-1.0425), R^2=0.8159
hidden_dim,learning_rate,log10_lr
32,0.01274253,-1.8947
48,0.00834992,-2.0783
64,0.00618636,-2.2086
80,0.00490238,-2.3096
96,0.00405379,-2.3921
112,0.00345199,-2.4619
128,0.00300341,-2.5224
144,0.00265637,-2.5757
160,0.00238005,-2.6234
176,0.00215494,-2.6666
192,0.00196807,-2.7060
208,0.00181051,-2.7422
224,0.00167590,-2.7758
240,0.00155960,-2.8070
256,0.00145812,-2.8362
272,0.00136882,-2.8637
288,0.00128964,-2.8895
304,0.00121896,-2.9140
320,0.00115549,-2.9372
336,0.00109819,-2.9593
352,0.00104620,-2.9804
368,0.00099882,-3.0005
384,0.00095548,-3.0198
400,0.00091567,-3.0383
416,0.00087898,-3.0560
432,0.00084507,-3.0731
448,0.00081363,-3.0896
464,0.00078441,-3.1055
480,0.00075717,-3.1208
496,0.00073172,-3.1357
512,0.00070790,-3.1500
