# modern_transformer: parabolic-vertex scaling law, eta* = 3.663602 * d^(-1.4993), R^2=0.9694
# Method: per-scale quadratic L_val = a*x^2 + b*x + c, x=ln(lr); eta* = exp(-b/(2a)); then log10(eta*) = alpha*log10(d) + beta.
# Standard procedure in Bjorck et al. 2025 (ICLR) and Google VaultGemma report.
hidden_dim,learning_rate,log10_lr
32,0.02028860,-1.6927
48,0.01104689,-1.9568
64,0.00717663,-2.1441
80,0.00513600,-2.2894
96,0.00390759,-2.4081
112,0.00310125,-2.5085
128,0.00253857,-2.5954
144,0.00212764,-2.6721
160,0.00181674,-2.7407
176,0.00157483,-2.8028
192,0.00138222,-2.8594
208,0.00122591,-2.9115
224,0.00109700,-2.9598
240,0.00098919,-3.0047
256,0.00089796,-3.0467
272,0.00081994,-3.0862
288,0.00075260,-3.1234
304,0.00069400,-3.1586
320,0.00064263,-3.1920
336,0.00059730,-3.2238
352,0.00055706,-3.2541
368,0.00052114,-3.2830
384,0.00048893,-3.3108
400,0.00045990,-3.3373
416,0.00043364,-3.3629
432,0.00040978,-3.3874
448,0.00038804,-3.4111
464,0.00036815,-3.4340
480,0.00034991,-3.4560
496,0.00033312,-3.4774
512,0.00031763,-3.4981
