step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
50,7.8464,7.7233,7.9303,7.75e+12,8.19e+12,409600
100,7.9042,7.7533,7.7979,1.57e+13,1.64e+13,819200
150,7.7636,7.6655,7.7545,2.36e+13,2.46e+13,1228800
200,7.7913,7.5095,7.5283,3.15e+13,3.28e+13,1638400
250,7.6493,7.3853,7.4045,3.94e+13,4.10e+13,2048000
300,7.5162,7.2502,7.2715,4.73e+13,4.92e+13,2457600
350,7.5228,7.2350,7.2435,5.52e+13,5.73e+13,2867200
400,7.1847,7.1025,7.0884,6.31e+13,6.55e+13,3276800
450,7.3378,7.0036,7.0059,7.10e+13,7.37e+13,3686400
500,7.2704,6.9179,6.9217,7.89e+13,8.19e+13,4096000
550,7.0560,6.8955,6.8978,8.68e+13,9.01e+13,4505600
600,7.0664,6.8248,6.8283,9.47e+13,9.83e+13,4915200
650,7.0990,6.8068,6.8094,1.03e+14,1.06e+14,5324800
700,6.9157,6.7691,6.7737,1.11e+14,1.15e+14,5734400
750,6.9289,6.7483,6.7520,1.18e+14,1.23e+14,6144000
800,6.9826,6.7429,6.7464,1.26e+14,1.31e+14,6553600
850,6.9412,6.7247,6.7289,1.34e+14,1.39e+14,6963200
900,7.0417,6.7104,6.7128,1.42e+14,1.47e+14,7372800
950,6.8543,6.6911,6.6945,1.50e+14,1.56e+14,7782400
1000,6.9330,6.6908,6.6937,1.58e+14,1.64e+14,8192000
1050,6.8340,6.6774,6.6797,1.66e+14,1.72e+14,8601600
1100,6.9845,6.6993,6.7016,1.74e+14,1.80e+14,9011200
1150,6.7881,6.6544,6.6577,1.82e+14,1.88e+14,9420800
1200,6.7803,6.6581,6.6613,1.90e+14,1.97e+14,9830400
1250,6.9561,6.6454,6.6490,1.97e+14,2.05e+14,10240000
1300,6.7061,6.6371,6.6402,2.05e+14,2.13e+14,10649600
1350,6.8759,6.6272,6.6303,2.13e+14,2.21e+14,11059200
1400,6.8038,6.6386,6.6422,2.21e+14,2.29e+14,11468800
1450,6.7522,6.6367,6.6408,2.29e+14,2.38e+14,11878400
1500,6.8263,6.6097,6.6133,2.37e+14,2.46e+14,12288000
1550,6.8639,6.6123,6.6158,2.45e+14,2.54e+14,12697600
1600,6.8472,6.6219,6.6265,2.53e+14,2.62e+14,13107200
1650,6.7701,6.5934,6.5963,2.61e+14,2.70e+14,13516800
1700,6.8509,6.6127,6.6173,2.69e+14,2.79e+14,13926400
1750,6.8495,6.5772,6.5813,2.77e+14,2.87e+14,14336000
1800,6.6634,6.5811,6.5836,2.84e+14,2.95e+14,14745600
1850,6.7598,6.5836,6.5918,2.92e+14,3.03e+14,15155200
1900,6.9385,6.5908,6.5967,3.00e+14,3.11e+14,15564800
1950,6.7621,6.5643,6.5696,3.08e+14,3.19e+14,15974400
2000,6.7314,6.5623,6.5681,3.16e+14,3.28e+14,16384000
2050,6.8708,6.5749,6.5840,3.24e+14,3.36e+14,16793600
2100,6.8636,6.5761,6.5842,3.32e+14,3.44e+14,17203200
2150,6.8380,6.5503,6.5567,3.40e+14,3.52e+14,17612800
2200,6.8908,6.5604,6.5706,3.48e+14,3.60e+14,18022400
2250,6.7889,6.5264,6.5339,3.56e+14,3.69e+14,18432000
2300,6.8665,6.5302,6.5351,3.63e+14,3.77e+14,18841600
2350,6.8301,6.5252,6.5299,3.71e+14,3.85e+14,19251200
2400,6.7400,6.5453,6.5532,3.79e+14,3.93e+14,19660800
