step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,6.6205,6.7852,3.35e+13,3.35e+13,1638400
400,6.3048,6.2362,6.70e+13,6.70e+13,3276800
600,5.9911,5.9849,1.00e+14,1.00e+14,4915200
800,5.7729,5.8433,1.34e+14,1.34e+14,6553600
1000,5.5459,5.7461,1.67e+14,1.67e+14,8192000
1200,5.7263,5.6740,2.01e+14,2.01e+14,9830400
1400,5.4977,5.6265,2.34e+14,2.34e+14,11468800
1600,5.5915,5.5931,2.68e+14,2.68e+14,13107200
