# historical_transformer: parabolic+argmin scaling law vs non-embedding N
# Fit: log10(eta*) = -0.3037 * log10(N) + -0.9277,  R^2 = 0.7874
# Equivalently: eta* = 1.181104e-01 * N^(-0.3037)
# N is computed per hidden_dim via experiment_utils.calculate_non_embedding_params
# (Kaplan et al. 2020 definition; matches Bjorck 2025 / Chinchilla protocol).
hidden_dim,N_non_embedding,learning_rate,log10_lr
32,83025,0.00378734,-2.4217
48,160849,0.00309820,-2.5089
64,312401,0.00253253,-2.5964
80,562257,0.00211858,-2.6740
96,934993,0.00181537,-2.7410
112,1455185,0.00158716,-2.7994
128,2147409,0.00141026,-2.8507
144,3036241,0.00126945,-2.8964
160,4146257,0.00115483,-2.9375
176,5502033,0.00105975,-2.9748
192,7128145,0.00097961,-3.0089
208,9049169,0.00091113,-3.0404
224,11289681,0.00085193,-3.0696
240,13874257,0.00080023,-3.0968
256,16827473,0.00075468,-3.1222
272,20173905,0.00071423,-3.1462
288,23938129,0.00067807,-3.1687
304,28144721,0.00064554,-3.1901
320,32818257,0.00061611,-3.2103
336,37983313,0.00058936,-3.2296
352,43664465,0.00056493,-3.2480
368,49886289,0.00054253,-3.2656
384,56673361,0.00052192,-3.2824
400,64050257,0.00050288,-3.2985
416,72041553,0.00048524,-3.3140
432,80671825,0.00046885,-3.3290
448,89965649,0.00045358,-3.3433
464,99947601,0.00043931,-3.3572
480,110642257,0.00042596,-3.3706
496,122074193,0.00041342,-3.3836
512,134267985,0.00040164,-3.3962
