# modern_transformer_iter3: parabolic+argmin scaling law vs non-embedding N
# Fit: log10(eta*) = -0.3974 * log10(N) + 0.0314,  R^2 = 0.8676
# Equivalently: eta* = 1.074995e+00 * N^(-0.3974)
# N is computed per hidden_dim via experiment_utils.calculate_non_embedding_params
# (Kaplan et al. 2020 definition; matches Bjorck 2025 / Chinchilla protocol).
hidden_dim,N_non_embedding,learning_rate,log10_lr
32,83025,0.01192399,-1.9236
48,160849,0.00916810,-2.0377
64,312401,0.00704216,-2.1523
80,562257,0.00557540,-2.2537
96,934993,0.00455509,-2.3415
112,1455185,0.00382075,-2.4179
128,2147409,0.00327330,-2.4850
144,3036241,0.00285237,-2.5448
160,4146257,0.00252015,-2.5986
176,5502033,0.00225215,-2.6474
192,7128145,0.00203192,-2.6921
208,9049169,0.00184808,-2.7333
224,11289681,0.00169254,-2.7715
240,13874257,0.00155941,-2.8070
256,16827473,0.00144428,-2.8403
272,20173905,0.00134384,-2.8717
288,23938129,0.00125551,-2.9012
304,28144721,0.00117728,-2.9291
320,32818257,0.00110755,-2.9556
336,37983313,0.00104505,-2.9809
352,43664465,0.00098873,-3.0049
368,49886289,0.00093775,-3.0279
384,56673361,0.00089139,-3.0499
400,64050257,0.00084908,-3.0710
416,72041553,0.00081032,-3.0913
432,80671825,0.00077469,-3.1109
448,89965649,0.00074184,-3.1297
464,99947601,0.00071146,-3.1479
480,110642257,0.00068329,-3.1654
496,122074193,0.00065710,-3.1824
512,134267985,0.00063270,-3.1988
