# historical_transformer_fair_combined: parabolic+argmin scaling law vs non-embedding N
# Fit: log10(eta*) = -0.2179 * log10(N) + -1.5403,  R^2 = 0.4504
# Equivalently: eta* = 2.882341e-02 * N^(-0.2179)
# N is computed per hidden_dim via experiment_utils.calculate_non_embedding_params
# (Kaplan et al. 2020 definition; matches Bjorck 2025 / Chinchilla protocol).
hidden_dim,N_non_embedding,learning_rate,log10_lr
32,74833,0.00249817,-2.6024
48,133201,0.00220320,-2.6569
64,246865,0.00192603,-2.7153
80,434257,0.00170299,-2.7688
96,713809,0.00152820,-2.8158
112,1103953,0.00138968,-2.8571
128,1623121,0.00127772,-2.8936
144,2289745,0.00118542,-2.9261
160,3122257,0.00110796,-2.9555
176,4139089,0.00104194,-2.9822
192,5358673,0.00098492,-3.0066
208,6799441,0.00093512,-3.0291
224,8479825,0.00089118,-3.0500
240,10418257,0.00085209,-3.0695
256,12633169,0.00081703,-3.0878
272,15142993,0.00078540,-3.1049
288,17966161,0.00075668,-3.1211
304,21121105,0.00073047,-3.1364
320,24626257,0.00070643,-3.1509
336,28500049,0.00068430,-3.1648
352,32760913,0.00066383,-3.1779
368,37427281,0.00064485,-3.1905
384,42517585,0.00062717,-3.2026
400,48050257,0.00061068,-3.2142
416,54043729,0.00059523,-3.2253
432,60516433,0.00058074,-3.2360
448,67486801,0.00056711,-3.2463
464,74973265,0.00055425,-3.2563
480,82994257,0.00054211,-3.2659
496,91568209,0.00053062,-3.2752
512,100713553,0.00051973,-3.2842
