# lstm_layer1_large: parabolic-vertex scaling law, eta* = 0.240304 * d^(-0.5514), R^2=0.9944
# Method: per-scale quadratic L_val = a*x^2 + b*x + c, x=ln(lr); eta* = exp(-b/(2a)); then log10(eta*) = alpha*log10(d) + beta.
# Standard procedure in Bjorck et al. 2025 (ICLR) and Google VaultGemma report.
hidden_dim,learning_rate,log10_lr
32,0.03554861,-1.4492
48,0.02842668,-1.5463
64,0.02425689,-1.6152
80,0.02144860,-1.6686
96,0.01939718,-1.7123
112,0.01781658,-1.7492
128,0.01655189,-1.7812
144,0.01551108,-1.8094
160,0.01463563,-1.8346
176,0.01388634,-1.8574
192,0.01323583,-1.8782
208,0.01266436,-1.8974
224,0.01215729,-1.9152
240,0.01170348,-1.9317
256,0.01129432,-1.9471
272,0.01092301,-1.9617
288,0.01058412,-1.9753
304,0.01027323,-1.9883
320,0.00998675,-2.0006
336,0.00972166,-2.0123
352,0.00947546,-2.0234
368,0.00924603,-2.0340
384,0.00903158,-2.0442
400,0.00883055,-2.0540
416,0.00864163,-2.0634
432,0.00846366,-2.0724
448,0.00829563,-2.0812
464,0.00813666,-2.0896
480,0.00798597,-2.0977
496,0.00784288,-2.1055
512,0.00770677,-2.1131
