hidden_dim,estimator,eta_used,reason,eta_star_parabolic,best_grid_lr,r_squared,a,b,c,window_used,unstable,vertex_in_swept_range,n_dropped,n_dropped_plateau,warnings
32,vertex,0.035374259,"",0.035374259,0.056234133,0.993886,0.144304,0.964463,7.68634,7,False,True,0,1,"dropped 1 divergence-plateau point(s)"
64,vertex,0.02416945,"",0.02416945,0.031622777,0.986885,0.163729,1.21902,8.16712,7,False,True,0,1,"dropped 1 divergence-plateau point(s)"
128,vertex,0.01605074,"",0.01605074,0.017782794,0.970114,0.176891,1.46183,8.76716,8,False,True,0,0,""
256,vertex,0.012375381,"",0.012375381,0.01,0.966648,0.207127,1.81942,9.56492,11,False,True,0,1,"dropped 1 divergence-plateau point(s)"
384,vertex,0.0091185501,"",0.0091185501,0.01,0.996389,0.257335,2.41764,11.0018,11,False,True,0,1,"dropped 1 divergence-plateau point(s)"
448,vertex,0.008150656,"",0.008150656,0.0056234133,0.996049,0.24022,2.31075,10.8583,6,False,True,0,1,"dropped 1 divergence-plateau point(s)"
512,vertex,0.0073743632,"",0.0073743632,0.01,0.985697,0.251808,2.47263,11.2533,10,False,True,0,2,"dropped 2 divergence-plateau point(s)"
