# lstm_layer1_large: parabolic+argmin scaling law vs non-embedding N
# Fit: log10(eta*) = -0.3932 * log10(N) + 0.3487,  R^2 = 0.9683
# Equivalently: eta* = 2.231795e+00 * N^(-0.3932)
# N is computed per hidden_dim via experiment_utils.calculate_non_embedding_params
# (Kaplan et al. 2020 definition; matches Bjorck 2025 / Chinchilla protocol).
hidden_dim,N_non_embedding,learning_rate,log10_lr
32,58577,0.02979080,-1.5259
48,68881,0.02795202,-1.5536
64,83281,0.02594161,-1.5860
80,101777,0.02397450,-1.6203
96,124369,0.02215738,-1.6545
112,151057,0.02052687,-1.6877
128,181841,0.01908323,-1.7193
144,216721,0.01781099,-1.7493
160,255697,0.01668968,-1.7776
176,298769,0.01569875,-1.8041
192,345937,0.01481954,-1.8292
208,397201,0.01403585,-1.8528
224,452561,0.01333394,-1.8750
240,512017,0.01270227,-1.8961
256,575569,0.01213117,-1.9161
272,643217,0.01161256,-1.9351
288,714961,0.01113964,-1.9531
304,790801,0.01070670,-1.9703
320,870737,0.01030892,-1.9868
336,954769,0.00994218,-2.0025
352,1042897,0.00960297,-2.0176
368,1135121,0.00928831,-2.0321
384,1231441,0.00899558,-2.0460
400,1331857,0.00872256,-2.0594
416,1436369,0.00846728,-2.0723
432,1544977,0.00822806,-2.0847
448,1657681,0.00800340,-2.0967
464,1774481,0.00779199,-2.1084
480,1895377,0.00759266,-2.1196
496,2020369,0.00740438,-2.1305
512,2149457,0.00722625,-2.1411
