step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
50,10.7075,10.6953,10.7197,7.75e+12,8.23e+12,819200
100,9.3145,9.2896,9.3726,1.57e+13,1.65e+13,1638400
150,8.8325,8.8276,8.9244,2.36e+13,2.47e+13,2457600
200,8.6684,8.6163,8.7171,3.15e+13,3.29e+13,3276800
250,8.5082,8.4957,8.5980,3.94e+13,4.12e+13,4096000
300,8.4392,8.4134,8.5083,4.73e+13,4.94e+13,4915200
350,8.3691,8.3512,8.4471,5.52e+13,5.76e+13,5734400
400,8.1996,8.3008,8.3919,6.31e+13,6.59e+13,6553600
450,8.2606,8.2606,8.3451,7.10e+13,7.41e+13,7372800
500,8.2279,8.2272,8.3094,7.89e+13,8.23e+13,8192000
550,8.1894,8.1993,8.2799,8.68e+13,9.06e+13,9011200
600,8.1622,8.1753,8.2560,9.47e+13,9.88e+13,9830400
650,8.2060,8.1553,8.2347,1.03e+14,1.07e+14,10649600
700,8.1334,8.1382,8.2161,1.11e+14,1.15e+14,11468800
750,8.1196,8.1238,8.2019,1.18e+14,1.24e+14,12288000
800,8.2078,8.1112,8.1895,1.26e+14,1.32e+14,13107200
850,8.0885,8.1003,8.1785,1.34e+14,1.40e+14,13926400
900,8.1434,8.0910,8.1684,1.42e+14,1.48e+14,14745600
950,8.0698,8.0833,8.1600,1.50e+14,1.56e+14,15564800
1000,8.0529,8.0765,8.1531,1.58e+14,1.65e+14,16384000
1050,8.1603,8.0708,8.1471,1.66e+14,1.73e+14,17203200
1100,8.0353,8.0658,8.1420,1.74e+14,1.81e+14,18022400
1150,8.0578,8.0618,8.1376,1.82e+14,1.89e+14,18841600
1200,8.0066,8.0584,8.1342,1.90e+14,1.98e+14,19660800
1250,8.1379,8.0555,8.1311,1.97e+14,2.06e+14,20480000
1300,8.1294,8.0531,8.1287,2.05e+14,2.14e+14,21299200
1350,7.9946,8.0510,8.1264,2.13e+14,2.22e+14,22118400
1400,8.0599,8.0491,8.1241,2.21e+14,2.31e+14,22937600
1450,8.0472,8.0474,8.1223,2.29e+14,2.39e+14,23756800
