step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
50,10.7165,10.7066,10.7213,1.16e+13,1.23e+13,819200
100,9.3481,9.3528,9.4546,2.35e+13,2.46e+13,1638400
150,8.7250,8.7269,8.8549,3.53e+13,3.69e+13,2457600
200,8.4674,8.5012,8.6175,4.72e+13,4.92e+13,3276800
250,8.4676,8.3786,8.4818,5.90e+13,6.14e+13,4096000
300,8.3999,8.2933,8.3985,7.09e+13,7.37e+13,4915200
350,8.3060,8.2278,8.3296,8.28e+13,8.60e+13,5734400
400,8.1654,8.1755,8.2700,9.46e+13,9.83e+13,6553600
450,8.1078,8.1345,8.2271,1.06e+14,1.11e+14,7372800
500,8.1112,8.1007,8.1938,1.18e+14,1.23e+14,8192000
550,8.1212,8.0711,8.1644,1.30e+14,1.35e+14,9011200
600,8.0503,8.0462,8.1376,1.42e+14,1.47e+14,9830400
650,8.0332,8.0243,8.1137,1.54e+14,1.60e+14,10649600
700,7.9731,8.0053,8.0949,1.66e+14,1.72e+14,11468800
750,8.0220,7.9884,8.0779,1.78e+14,1.84e+14,12288000
800,7.9251,7.9732,8.0628,1.89e+14,1.97e+14,13107200
850,7.9814,7.9599,8.0495,2.01e+14,2.09e+14,13926400
900,7.9953,7.9481,8.0378,2.13e+14,2.21e+14,14745600
950,7.9075,7.9372,8.0253,2.25e+14,2.33e+14,15564800
1000,7.9518,7.9280,8.0162,2.37e+14,2.46e+14,16384000
1050,8.0047,7.9194,8.0077,2.49e+14,2.58e+14,17203200
1100,7.9272,7.9117,7.9987,2.61e+14,2.70e+14,18022400
1150,7.8918,7.9044,7.9914,2.72e+14,2.83e+14,18841600
1200,7.8993,7.8982,7.9842,2.84e+14,2.95e+14,19660800
