# modern_transformer_fair_combined: parabolic-vertex scaling law, eta* = 1.717992 * d^(-1.3067), R^2=0.9699
# Method: per-scale quadratic L_val = a*x^2 + b*x + c, x=ln(lr); eta* = exp(-b/(2a)); then log10(eta*) = alpha*log10(d) + beta.
# Standard procedure in Bjorck et al. 2025 (ICLR) and Google VaultGemma report.
hidden_dim,learning_rate,log10_lr
32,0.01854852,-1.7317
48,0.01091990,-1.9618
64,0.00749837,-2.1250
80,0.00560195,-2.2517
96,0.00441445,-2.3551
112,0.00360911,-2.4426
128,0.00303127,-2.5184
144,0.00259888,-2.5852
160,0.00226463,-2.6450
176,0.00199945,-2.6991
192,0.00178457,-2.7485
208,0.00160736,-2.7939
224,0.00145901,-2.8359
240,0.00133323,-2.8751
256,0.00122541,-2.9117
272,0.00113209,-2.9461
288,0.00105061,-2.9786
304,0.00097895,-3.0092
320,0.00091549,-3.0383
336,0.00085895,-3.0660
352,0.00080829,-3.0924
368,0.00076268,-3.1177
384,0.00072143,-3.1418
400,0.00068395,-3.1650
416,0.00064978,-3.1872
432,0.00061852,-3.2086
448,0.00058981,-3.2293
464,0.00056338,-3.2492
480,0.00053897,-3.2684
496,0.00051636,-3.2870
512,0.00049538,-3.3051
