# modern_transformer_fair_combined: parabolic+argmin scaling law vs non-embedding N
# Fit: log10(eta*) = -0.5014 * log10(N) + 0.6728,  R^2 = 0.9879
# Equivalently: eta* = 4.707239e+00 * N^(-0.5014)
# N is computed per hidden_dim via experiment_utils.calculate_non_embedding_params
# (Kaplan et al. 2020 definition; matches Bjorck 2025 / Chinchilla protocol).
hidden_dim,N_non_embedding,learning_rate,log10_lr
32,83025,0.01607213,-1.7939
48,160849,0.01153599,-1.9379
64,312401,0.00826975,-2.0825
80,562257,0.00615905,-2.2105
96,934993,0.00477264,-2.3212
112,1455185,0.00382320,-2.4176
128,2147409,0.00314547,-2.5023
144,3036241,0.00264398,-2.5777
160,4146257,0.00226153,-2.6456
176,5502033,0.00196242,-2.7072
192,7128145,0.00172347,-2.7636
208,9049169,0.00152911,-2.8156
224,11289681,0.00136856,-2.8637
240,13874257,0.00123416,-2.9086
256,16827473,0.00112033,-2.9507
272,20173905,0.00102293,-2.9902
288,23938129,0.00093883,-3.0274
304,28144721,0.00086563,-3.0627
320,32818257,0.00080145,-3.0961
336,37983313,0.00074481,-3.1280
352,43664465,0.00069453,-3.1583
368,49886289,0.00064966,-3.1873
384,56673361,0.00060940,-3.2151
400,64050257,0.00057314,-3.2417
416,72041553,0.00054032,-3.2673
432,80671825,0.00051052,-3.2920
448,89965649,0.00048336,-3.3157
464,99947601,0.00045851,-3.3386
480,110642257,0.00043573,-3.3608
496,122074193,0.00041476,-3.3822
512,134267985,0.00039543,-3.4029
