step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,6.9056,7.2461,7.2524,6.29e+13,6.63e+13,1638400
400,6.3606,6.6475,6.6621,1.26e+14,1.33e+14,3276800
600,6.3102,6.4444,6.4515,1.89e+14,1.99e+14,4915200
800,6.0719,6.2859,6.3006,2.53e+14,2.65e+14,6553600
1000,5.9000,6.1918,6.2100,3.16e+14,3.32e+14,8192000
1200,5.9315,6.0961,6.1200,3.79e+14,3.98e+14,9830400
1400,5.7925,6.0155,6.0428,4.42e+14,4.64e+14,11468800
1600,5.9468,5.9368,5.9675,5.06e+14,5.31e+14,13107200
1800,5.9267,5.8899,5.9208,5.69e+14,5.97e+14,14745600
