step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
17600,7.7096,7.6721,7.6721,5.56e+15,7.44e+15,144179200
17800,7.5703,7.6727,7.6727,5.63e+15,7.52e+15,145817600
18000,7.6764,7.6755,7.6755,5.69e+15,7.61e+15,147456000
18200,7.6871,7.6747,7.6747,5.75e+15,7.69e+15,149094400
18400,7.6062,7.6769,7.6769,5.82e+15,7.77e+15,150732800
18600,7.5474,7.6803,7.6803,5.88e+15,7.86e+15,152371200
18800,7.5784,7.6810,7.6809,5.94e+15,7.94e+15,154009600
19000,7.5559,7.6791,7.6790,6.01e+15,8.03e+15,155648000
19200,7.6122,7.6771,7.6771,6.07e+15,8.11e+15,157286400
19400,7.6849,7.6791,7.6791,6.13e+15,8.20e+15,158924800
19600,7.6284,7.6727,7.6728,6.20e+15,8.28e+15,160563200
19800,7.5686,7.6757,7.6757,6.26e+15,8.37e+15,162201600
20000,7.6918,7.6682,7.6683,6.32e+15,8.45e+15,163840000
20200,7.7228,7.6742,7.6743,6.39e+15,8.54e+15,165478400
20400,7.5395,7.6787,7.6787,6.45e+15,8.62e+15,167116800
20600,7.6809,7.6773,7.6773,6.51e+15,8.70e+15,168755200
20800,7.6463,7.6776,7.6776,6.58e+15,8.79e+15,170393600
