step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.7051,7.8421,7.8436,1.57e+13,1.66e+13,1638400
400,7.6937,7.8543,7.8538,3.15e+13,3.33e+13,3276800
600,7.5916,7.7321,7.7319,4.74e+13,4.99e+13,4915200
800,7.6734,7.8517,7.8625,6.32e+13,6.65e+13,6553600
1000,7.6418,7.7286,7.7333,7.90e+13,8.32e+13,8192000
1200,7.6437,7.7165,7.7196,9.48e+13,9.98e+13,9830400
1400,7.5615,7.5965,7.6019,1.11e+14,1.16e+14,11468800
1600,7.2977,7.4761,7.5479,1.26e+14,1.33e+14,13107200
1800,7.3191,7.3926,7.4000,1.42e+14,1.50e+14,14745600
2000,7.2694,7.3511,7.3608,1.58e+14,1.66e+14,16384000
2200,7.2706,7.3048,7.3120,1.74e+14,1.83e+14,18022400
2400,7.3677,7.2767,7.2833,1.90e+14,2.00e+14,19660800
2600,7.1248,7.2382,7.2449,2.05e+14,2.16e+14,21299200
2800,7.3002,7.2201,7.2258,2.21e+14,2.33e+14,22937600
3000,7.2100,7.2060,7.2152,2.37e+14,2.50e+14,24576000
3200,7.1873,7.1998,7.2063,2.53e+14,2.66e+14,26214400
3400,7.1115,7.1795,7.1871,2.69e+14,2.83e+14,27852800
3600,7.2530,7.1606,7.1671,2.84e+14,2.99e+14,29491200
3800,7.0945,7.1293,7.1385,3.00e+14,3.16e+14,31129600
4000,7.1680,7.1130,7.1226,3.16e+14,3.33e+14,32768000
