step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.7357,7.7985,7.7986,2.36e+13,2.53e+13,1638400
400,7.6241,7.7826,7.7824,4.73e+13,5.06e+13,3276800
600,7.6574,7.7604,7.7603,7.10e+13,7.60e+13,4915200
800,7.7133,7.7782,7.7780,9.47e+13,1.01e+14,6553600
1000,7.7154,7.7689,7.7687,1.18e+14,1.27e+14,8192000
1200,7.5560,7.7534,7.7535,1.42e+14,1.52e+14,9830400
1400,66.5634,68.4739,67.9970,1.66e+14,1.77e+14,11468800
1600,8.7737,8.8796,8.9153,1.90e+14,2.03e+14,13107200
1800,7.8861,9.4423,9.4440,2.13e+14,2.28e+14,14745600
2000,7.8156,7.9363,7.9365,2.37e+14,2.53e+14,16384000
2200,7.6986,7.8646,7.8648,2.61e+14,2.78e+14,18022400
2400,7.5390,7.8177,7.8181,2.84e+14,3.04e+14,19660800
2600,7.7122,7.8029,7.8032,3.08e+14,3.29e+14,21299200
2800,7.7144,7.8040,7.8042,3.32e+14,3.54e+14,22937600
3000,7.5871,7.7550,7.7555,3.56e+14,3.80e+14,24576000
3200,7.6766,7.7750,7.7754,3.79e+14,4.05e+14,26214400
3400,7.5756,7.7288,7.7293,4.03e+14,4.30e+14,27852800
3600,7.6633,7.7168,7.7174,4.27e+14,4.56e+14,29491200
3800,7.6796,7.7340,7.7345,4.50e+14,4.81e+14,31129600
4000,7.7453,7.7232,7.7236,4.74e+14,5.06e+14,32768000
4200,7.6156,7.7045,7.7050,4.98e+14,5.32e+14,34406400
4400,7.5626,7.7219,7.7223,5.22e+14,5.57e+14,36044800
4600,7.6046,7.6846,7.6852,5.45e+14,5.82e+14,37683200
4800,7.5727,7.6807,7.6813,5.69e+14,6.08e+14,39321600
5000,7.6689,7.6702,7.6707,5.93e+14,6.33e+14,40960000
5200,7.7206,7.6713,7.6719,6.16e+14,6.58e+14,42598400
5400,7.7496,7.6653,7.6659,6.40e+14,6.84e+14,44236800
5600,7.5847,7.6689,7.6695,6.64e+14,7.09e+14,45875200
5800,7.5432,7.6612,7.6618,6.88e+14,7.34e+14,47513600
6000,7.5905,7.6554,7.6559,7.11e+14,7.60e+14,49152000
6200,7.6433,7.6659,7.6664,7.35e+14,7.85e+14,50790400
