step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.7132,7.8235,7.8558,1.57e+13,1.66e+13,1638400
400,7.6781,7.7336,7.7470,3.15e+13,3.33e+13,3276800
600,7.3659,7.5145,7.5281,4.74e+13,4.99e+13,4915200
800,7.1847,7.2891,7.3117,6.32e+13,6.65e+13,6553600
1000,7.0211,7.0788,7.1143,7.90e+13,8.32e+13,8192000
1200,6.8874,6.9716,6.9986,9.48e+13,9.98e+13,9830400
1400,6.8353,6.9065,6.9367,1.11e+14,1.16e+14,11468800
1600,6.7204,6.8445,6.8838,1.26e+14,1.33e+14,13107200
1800,6.7505,6.7851,6.8022,1.42e+14,1.50e+14,14745600
2000,6.6734,6.7398,6.7527,1.58e+14,1.66e+14,16384000
2200,6.5802,6.6718,6.6916,1.74e+14,1.83e+14,18022400
2400,6.8077,6.6309,6.6512,1.90e+14,2.00e+14,19660800
2600,6.4983,6.5779,6.5930,2.05e+14,2.16e+14,21299200
2800,6.6408,6.5584,6.5737,2.21e+14,2.33e+14,22937600
3000,6.5482,6.5270,6.5435,2.37e+14,2.50e+14,24576000
3200,6.4808,6.5025,6.5184,2.53e+14,2.66e+14,26214400
3400,6.3678,6.4810,6.4974,2.69e+14,2.83e+14,27852800
3600,6.5616,6.4641,6.4807,2.84e+14,2.99e+14,29491200
3800,6.4640,6.4535,6.4707,3.00e+14,3.16e+14,31129600
4000,6.5309,6.4479,6.4645,3.16e+14,3.33e+14,32768000
