step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.6570,7.8731,7.9249,3.93e+13,4.51e+13,1638400
400,7.5805,7.8395,7.8498,7.89e+13,9.02e+13,3276800
600,7.7987,7.8079,7.8095,1.18e+14,1.35e+14,4915200
800,7.6637,7.7910,7.7921,1.58e+14,1.80e+14,6553600
1000,7.6389,7.7899,7.7904,1.97e+14,2.26e+14,8192000
1200,7.5926,7.7605,7.7612,2.37e+14,2.71e+14,9830400
1400,7.5708,7.7577,7.7578,2.76e+14,3.16e+14,11468800
1600,7.6164,7.7518,7.7520,3.16e+14,3.61e+14,13107200
1800,7.5798,7.7535,7.7539,3.56e+14,4.06e+14,14745600
2000,7.6024,7.7471,7.7473,3.95e+14,4.51e+14,16384000
2200,7.5465,7.7499,7.7504,4.35e+14,4.96e+14,18022400
2400,7.5899,7.7605,7.7603,4.74e+14,5.41e+14,19660800
2600,7.6874,7.7760,7.7761,5.14e+14,5.86e+14,21299200
2800,7.6048,7.7669,7.7672,5.53e+14,6.32e+14,22937600
3000,7.5988,7.7396,7.7400,5.93e+14,6.77e+14,24576000
3200,7.5691,7.7360,7.7361,6.32e+14,7.22e+14,26214400
3400,7.5727,7.7324,7.7324,6.72e+14,7.67e+14,27852800
3600,7.6883,7.7443,7.7443,7.11e+14,8.12e+14,29491200
3800,7.5826,7.7407,7.7406,7.51e+14,8.57e+14,31129600
4000,7.7003,7.7303,7.7304,7.90e+14,9.02e+14,32768000
4200,7.6205,7.7501,7.7495,8.30e+14,9.47e+14,34406400
4400,7.5882,7.7332,7.7334,8.69e+14,9.93e+14,36044800
4600,7.7197,7.7320,7.7322,9.09e+14,1.04e+15,37683200
4800,7.6485,7.7293,7.7293,9.48e+14,1.08e+15,39321600
5000,7.6133,7.7249,7.7254,9.88e+14,1.13e+15,40960000
5200,7.6283,7.7262,7.7264,1.03e+15,1.17e+15,42598400
5400,7.7674,7.7291,7.7291,1.07e+15,1.22e+15,44236800
5600,7.6329,7.7324,7.7325,1.11e+15,1.26e+15,45875200
5800,7.6382,7.7259,7.7260,1.15e+15,1.31e+15,47513600
6000,7.6600,7.7236,7.7237,1.19e+15,1.35e+15,49152000
6200,7.6417,7.7243,7.7243,1.23e+15,1.40e+15,50790400
6400,7.6135,7.7255,7.7255,1.26e+15,1.44e+15,52428800
6600,7.5147,7.7207,7.7206,1.30e+15,1.49e+15,54067200
6800,7.6693,7.7157,7.7157,1.34e+15,1.53e+15,55705600
7000,7.5636,7.7204,7.7202,1.38e+15,1.58e+15,57344000
7200,7.5653,7.7174,7.7174,1.42e+15,1.62e+15,58982400
7400,7.5452,7.7302,7.7299,1.46e+15,1.67e+15,60620800
7600,7.6099,7.7165,7.7167,1.50e+15,1.71e+15,62259200
7800,7.6473,7.7231,7.7232,1.54e+15,1.76e+15,63897600
8000,7.7124,7.7114,7.7115,1.58e+15,1.80e+15,65536000
8200,7.6381,7.7152,7.7152,1.62e+15,1.85e+15,67174400
8400,7.6556,7.7097,7.7095,1.66e+15,1.89e+15,68812800
8600,7.6947,7.7086,7.7086,1.70e+15,1.94e+15,70451200
8800,7.6290,7.7077,7.7077,1.74e+15,1.99e+15,72089600
9000,7.7355,7.7070,7.7072,1.78e+15,2.03e+15,73728000
9200,7.7844,7.7085,7.7085,1.82e+15,2.08e+15,75366400
9400,7.6574,7.7061,7.7061,1.86e+15,2.12e+15,77004800
9600,7.5229,7.7048,7.7048,1.90e+15,2.17e+15,78643200
9800,7.6456,7.7020,7.7020,1.94e+15,2.21e+15,80281600
10000,7.6528,7.7061,7.7061,1.98e+15,2.26e+15,81920000
10200,7.6473,7.7038,7.7038,2.02e+15,2.30e+15,83558400
10400,7.6068,7.7043,7.7044,2.06e+15,2.35e+15,85196800
10600,7.6411,7.7037,7.7038,2.09e+15,2.39e+15,86835200
10800,7.5950,7.7038,7.7038,2.13e+15,2.44e+15,88473600
11000,7.6260,7.7025,7.7025,2.17e+15,2.48e+15,90112000
