step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
200,7.6171,7.7799,7.8128,2.36e+13,2.53e+13,1638400
400,7.6021,7.7502,7.7598,4.73e+13,5.06e+13,3276800
600,7.6413,7.7106,7.7132,7.10e+13,7.60e+13,4915200
800,7.6771,7.6981,7.7000,9.47e+13,1.01e+14,6553600
1000,7.6515,7.6863,7.6884,1.18e+14,1.27e+14,8192000
1200,7.5305,7.6751,7.6764,1.42e+14,1.52e+14,9830400
1400,7.6043,7.6720,7.6729,1.66e+14,1.77e+14,11468800
1600,7.7124,7.6689,7.6697,1.90e+14,2.03e+14,13107200
1800,7.6034,7.6659,7.6663,2.13e+14,2.28e+14,14745600
2000,7.6772,7.6644,7.6656,2.37e+14,2.53e+14,16384000
2200,7.5950,7.6565,7.6574,2.61e+14,2.78e+14,18022400
2400,7.4961,7.6578,7.6581,2.84e+14,3.04e+14,19660800
2600,7.6393,7.6579,7.6581,3.08e+14,3.29e+14,21299200
2800,7.5878,7.6518,7.6518,3.32e+14,3.54e+14,22937600
3000,7.5668,7.6504,7.6505,3.56e+14,3.80e+14,24576000
3200,7.6739,7.6579,7.6580,3.79e+14,4.05e+14,26214400
3400,7.5517,7.6452,7.6498,4.03e+14,4.30e+14,27852800
3600,7.4258,7.7796,7.7847,4.27e+14,4.56e+14,29491200
3800,7.3767,7.3683,7.3813,4.50e+14,4.81e+14,31129600
4000,7.1972,7.1312,7.1476,4.74e+14,5.06e+14,32768000
4200,6.9797,7.0582,7.0626,4.98e+14,5.32e+14,34406400
4400,6.7675,6.9231,6.9282,5.22e+14,5.57e+14,36044800
4600,6.7662,6.7851,6.8088,5.45e+14,5.82e+14,37683200
4800,6.6362,6.7166,6.7428,5.69e+14,6.08e+14,39321600
5000,6.6447,6.6784,6.7028,5.93e+14,6.33e+14,40960000
5200,6.7014,6.6395,6.6627,6.16e+14,6.58e+14,42598400
5400,6.7576,6.6103,6.6326,6.40e+14,6.84e+14,44236800
5600,6.5220,6.5908,6.6127,6.64e+14,7.09e+14,45875200
5800,6.4862,6.5727,6.5938,6.88e+14,7.34e+14,47513600
6000,6.4942,6.5568,6.5780,7.11e+14,7.60e+14,49152000
6200,6.5579,6.5491,6.5684,7.35e+14,7.85e+14,50790400
