step,training_loss,validation_loss,total_flops_profiler
100,10.8292,10.8290,8.63e+12
200,10.8307,10.8290,1.73e+13
300,10.7909,10.7907,2.59e+13
400,9.3123,9.3424,3.45e+13
500,8.1649,8.1762,4.32e+13
600,7.4381,7.5480,5.18e+13
700,7.3624,7.2763,6.04e+13
800,7.0807,7.0852,6.91e+13
900,6.7605,6.9126,7.77e+13
1000,6.6994,6.8090,8.63e+13
1100,6.6657,6.7114,9.49e+13
1200,6.5430,6.6383,1.04e+14
1300,6.4791,6.6114,1.12e+14
1400,6.3854,6.5869,1.21e+14
